assists,team,goals,year,games_played,points,pim,age,plus_minus,league
20,Saskatoon Blades,23,1973-74,52,43,28,18,0,WCJHL
38,Saskatoon Blades,29,1974-75,68,67,51,19,0,WCJHL
39,Saskatoon Blades,48,1975-76,72,87,155,20,0,WCJHL
18,Muskegon Mohawks,18,1976-77,38,36,16,21,0,IHL
32,Muskegon Mohawks,37,1977-78,75,69,84,22,0,IHL
7,Muskegon Mohawks,11,1978-79,13,18,14,23,0,IHL
15,Fort Worth Texans,9,1978-79,57,24,87,23,0,CHL
19,Indianapolis Checkers,26,1979-80,70,45,56,24,0,CHL
42,Indianapolis Checkers,37,1980-81,80,79,61,25,0,CHL
14,Indianapolis Checkers,20,1981-82,58,34,89,26,0,CHL
24,Muskegon Mohawks,33,1982-83,68,57,42,27,0,IHL
3,Wichita Wind,2,1982-83,2,5,0,27,0,CHL
37,Muskegon Mohawks,25,1983-84,66,62,36,28,0,IHL
22,Muskegon Mohawks,17,1984-85,80,39,93,29,0,IHL
24,2 Teams,36,1985-86,82,60,77,30,0,IHL
1,Muskegon Lumberjacks,4,1985-86,14,5,10,30,0,IHL
23,Kalamazoo Wings,32,1985-86,68,55,67,30,0,IHL
23,Kalamazoo Wings,9,1986-87,56,32,84,31,0,IHL
