won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,NHL,0,CGY,0,22,0,98,1,0,0,1.13,0,0,12,1,0,0,0,.897,1985-86,0,2.93,0,0
,0,NHL,5,CGY,263,23,3,116,0,16,0,-2.20,0,0,2,0,0,0,0,.882,1986-87,136,3.65,0,120
,0,NHL,9,CGY,515,24,4,124,2,34,0,-6.53,0,0,4,2,0,0,0,.838,1987-88,210,3.96,2,176
SC,0,NHL,0,CGY,0,25,5,89,0,0,0,6.61,0,0,0,0,0,0,0,.905,1988-89,0,2.26,14,0
,0,NHL,6,CGY,342,26,3,115,0,19,0,-2.46,0,0,2,0,0,0,0,.873,1989-90,150,3.33,0,131
,0,NHL,7,CGY,427,27,4,99,0,21,0,0.29,0,0,3,0,0,0,0,.897,1990-91,204,2.95,2,183
,0,NHL,4,CGY,150,29,1,0,0,15,0,0,0,0,1,0,0,0,0,.815,1992-93,81,6.00,2,66
,0,NHL,7,CGY,466,30,4,114,0,23,0,-2.81,0,0,3,0,0,0,0,.895,1993-94,220,2.96,2,197
,0,NHL,18,DET,1063,31,6,103,0,41,0,-1.23,0,1,12,0,0,0,0,.889,1994-95,370,2.31,0,329
,0,NHL,4,DET,243,32,2,0,0,11,0,0,0,0,2,0,0,0,0,.864,1995-96,81,2.72,2,70
SC,0,NHL,0,DET,0,33,4,90,1,36,0,4.05,0,1,0,1,0,0,0,.927,1996-97,494,1.76,12,458
,0,NHL,6,SJS,348,34,4,119,0,14,0,-2.28,0,1,2,0,0,0,0,.899,1997-98,138,2.41,0,124
,0,NHL,5,SJS,321,35,3,89,1,13,0,1.66,0,0,2,1,0,0,0,.924,1998-99,172,2.43,0,159
,0,NHL,4,FLA,237,36,4,108,0,12,0,-0.89,0,0,0,0,0,0,0,.912,1999-00,136,3.04,10,124
