average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,21,0,0,-1,1,0,0,0,0,1990-91,HAR,0,0,[],0.0,,4
,5,0,0,NHL,22,4,6,7,18,0,0,0,1,1991-92,HAR,0,5,[],0.0,,17
,8,0,0,NHL,23,5,27,-11,16,1,0,0,2,1992-93,HAR,1,7,[],6.3,,22
,13,0,0,NHL,24,4,41,-5,55,6,0,0,3,1993-94,TOT,6,7,[],10.9,,44
,9,0,0,NHL,24,2,31,-6,41,4,0,0,3,1993-94,HAR,4,5,[],9.8,,31
,4,0,0,NHL,24,2,10,1,14,2,0,0,0,1993-94,TOR,2,2,[],14.3,,13
,2,0,0,NHL,25,1,2,1,5,1,0,0,0,1994-95,CGY,1,1,[],20.0,,8
9:55,4,0,0,NHL,29,1,2,1,9,1,0,0,2,1998-99,PHI,1,3,[],11.1,69,7
11:19,5,1,0,NHL,30,1,6,0,14,3,0,0,1,1999-00,PHI,3,2,[],21.4,125,11
14:23,2,0,0,NHL,31,1,4,-2,7,1,0,0,0,2000-01,PHI,1,1,[],14.3,101,7
5:02,1,0,0,NHL,33,1,2,1,2,0,0,0,0,2002-03,PHI,0,1,[],0.0,25,5
