assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,1978-79,21,5,3,Brandon Wheat Kings,17,10,0,WHL
1,1978-79,5,1,0,Brandon Wheat Kings,17,2,0,M-Cup
5,1979-80,11,9,4,Brandon Wheat Kings,18,15,0,WHL
6,1980-81,5,8,2,Brandon Wheat Kings,19,0,0,WHL
0,1981-82,2,0,0,New Brunswick Hawks,20,0,0,AHL
4,1984-85,11,7,3,Maine Mariners,23,4,0,AHL
0,1985-86,3,0,0,Maine Mariners,24,0,0,AHL
1,1986-87,3,2,1,Schwenninger ERC,25,0,0,W.German
1,1986-87,8,1,0,EHC Kloten,25,0,0,Swiss
1,1987-88,5,1,0,Schwenninger ERC,26,2,0,W.German
0,1988-89,3,1,1,Schwenninger ERC,27,2,0,W.German
22,1989-90,20,30,8,ETC Timmendorf,28,10,0,W.Ger-3
