assists,year,games_played,points,goals,team,age,pim,plus_minus,league
41,1980-81,40,82,41,New Hyde Park Arrows,17,0,0,NYJHL
44,1981-82,50,96,52,Austin Mavericks,18,20,0,USHL
20,1982-83,34,31,11,Western Michigan University,19,23,0,CCHA
50,1983-84,42,91,41,Western Michigan University,20,42,0,CCHA
46,1984-85,39,67,21,Western Michigan University,21,28,0,CCHA
3,1984-85,5,5,2,United States,21,2,0,WEC-A
62,1985-86,42,104,42,Western Michigan University,22,48,0,CCHA
22,1986-87,70,38,16,Maine Mariners,23,47,0,AHL
35,1987-88,65,65,30,Utica Devils,24,98,0,AHL
7,1988-89,31,16,9,2 Teams,25,32,0,AHL
4,1988-89,15,11,7,Utica Devils,25,19,0,AHL
3,1988-89,16,5,2,Maine Mariners,25,13,0,AHL
32,1989-90,29,69,37,HC Fassa,26,66,0,Italy
66,1991-92,31,129,63,Nottingham Panthers,28,48,0,Britain
16,1991-92,21,43,27,2 Teams,28,10,0,Aut-Cup
6,1991-92,6,19,13,Solihull Barons,28,4,0,Aut-Cup
10,1991-92,15,24,14,Nottingham Panthers,28,6,0,Aut-Cup
7,1992-93,10,31,24,Nottingham Panthers,29,14,0,BH-Cup
40,1992-93,32,103,63,2 Teams,29,38,0,Britain
12,1992-93,13,38,26,Nottingham Panthers,29,16,0,Britain
28,1992-93,19,65,37,Humberside Seahawks,29,22,0,Britain
39,1993-94,28,85,46,Humberside Hawks,30,46,0,Britain
3,1993-94,8,6,3,Roanoke Valley Rebels,30,4,0,ECHL
13,1994-95,8,19,6,Romford Raiders,31,10,0,BH-Cup
