pim,team,assists,plus_minus,points,league,games_played,year,age,goals
64,Bloomington Jr. Stars,21,0,42,MWJHL,40,1976-77,18,21
54,University of Minnesota,22,0,31,WCHA,40,1979-80,21,9
89,University of Minnesota,16,0,18,WCHA,45,1980-81,22,2
111,Nashville South Stars,20,0,22,CHL,74,1981-82,23,2
11,Toledo Goaldiggers,1,0,2,IHL,3,1981-82,23,1
156,Birmingham South Stars,20,0,26,CHL,78,1982-83,24,6
78,Salt Lake Golden Eagles,17,0,21,CHL,44,1983-84,25,4
15,Salt Lake Golden Eagles,4,0,4,IHL,9,1984-85,26,0
7,New Haven Nighthawks,1,0,1,AHL,7,1985-86,27,0
116,Dundee Tigers,49,0,69,Britain,42,1987-88,29,20
