bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,3.75,0,0,NHL,0,27,0,0,4,0,0,0,15,0,1967-68,BOS,4,,0,0,0,4,240
0,0,0,1.68,0,0,NHL,0,28,0,0,17,0,0,0,16,0,1968-69,BOS,3,,0,0,6,9,572
0,0,1,2.23,0,0,NHL,0,29,0,0,2,0,0,0,0,0,1969-70,BOS,1,SC,1,0,0,0,0
0,0,0,3.50,0,0,NHL,0,30,0,0,4,0,0,0,21,0,1970-71,BOS,3,,0,0,3,6,360
0,0,0,2.61,0,0,NHL,0,31,0,0,0,0,0,0,21,0,1971-72,BOS,2,SC,0,0,0,8,483
0,0,0,2.41,8.64,278,WHA,0,32,0,256,4,0,0,72,22,.921,1972-73,CLC,0,,0,0,0,9,548
0,0,0,3.56,3.40,196,WHA,0,33,0,178,6,0,0,84,18,.908,1973-74,CLC,0,,0,0,0,5,303
0,0,0,4.60,0,0,WHA,0,34,0,0,0,0,0,0,23,0,1974-75,CLC,0,,0,0,0,5,300
0,1,0,2.14,0,0,NHL,0,35,0,0,0,0,0,0,14,0,1975-76,BOS,4,,0,0,2,6,392
0,1,0,3.08,0,0,NHL,0,36,0,0,4,0,0,0,0,0,1976-77,BOS,0,,0,0,8,0,0
0,1,0,2.87,0,0,NHL,0,37,0,0,6,0,0,0,0,0,1977-78,BOS,4,,0,0,8,12,731
0,0,0,2.50,0,0,NHL,0,38,0,0,0,0,0,0,15,0,1978-79,BOS,2,,0,0,4,6,360
0,0,0,3.10,0,0,NHL,0,39,0,0,0,0,0,0,32,0,1979-80,BOS,0,,0,0,4,10,619
