power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,6,4,2,NHL,2001-02,23,2,NJD,103,2,0,-1,1,16,,,12.5,1
0,0,9,0,NHL,2002-03,24,1,NJD,349,8,6,5,0,59,,SC,1.7,1
1,5,5,0,NHL,2003-04,25,2,NJD,78,3,0,-2,0,9,,,22.2,1
1,9,7,2,NHL,2005-06,27,3,NJD,181,4,2,-1,1,29,,,10.3,1
3,11,9,1,NHL,2006-07,28,8,NJD,212,1,4,5,0,37,,,21.6,5
0,5,1,0,NHL,2007-08,29,1,NJD,89,0,2,-2,0,14,28,,7.1,1
0,7,5,0,NHL,2008-09,30,2,NJD,125,3,4,0,0,23,41,,8.7,2
4,19,15,1,NHL,2009-10,31,9,MTL,422,6,14,-6,0,70,128,,12.9,5
1,7,5,2,NHL,2010-11,32,3,MTL,158,2,0,-6,0,35,51,,8.6,2
0,2,1,0,NHL,2012-13,34,0,MTL,34,1,0,-2,0,5,6,,0.0,0
0,17,7,0,NHL,2013-14,35,1,MTL,303,6,2,0,1,40,70,,2.5,0
