goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1974-75,94,1187,2,0,0,0,0,0,U. of Minnesota-Duluth,0,0,0,4.75,19,WCHA,0,0,20,0,6,11
0,0,0,1975-76,162,2029,0,0,0,0,0,0,U. of Minnesota-Duluth,0,0,0,4.79,20,WCHA,0,0,34,0,14,20
0,0,0,1976-77,123,1332,2,0,0,0,0,0,U. of Minnesota-Duluth,0,0,0,5.54,21,WCHA,0,0,23,0,6,15
0,0,0,1977-78,157,1961,1,0,0,0,0,0,U. of Minnesota-Duluth,0,0,0,4.80,22,WCHA,0,0,33,0,13,18
0,0,0,1978-79,157,2800,0,0,0,0,0,0,Port Huron Flags,5,0,0,3.36,23,IHL,0,0,54,0,0,0
0,0,0,1978-79,3,59,0,0,0,0,0,0,Salt Lake Golden Eagles,0,0,0,3.05,23,CHL,0,0,1,0,0,1
0,0,0,1979-80,119,2353,5,0,0,0,0,0,Salt Lake Golden Eagles,0,0,0,3.03,24,CHL,0,0,39,0,22,11
0,0,0,1980-81,128,2210,3,0,0,0,0,0,Salt Lake Golden Eagles,3,0,0,3.48,25,CHL,0,0,36,0,19,14
0,0,0,1981-82,35,433,2,0,0,0,0,0,Salt Lake Golden Eagles,0,0,0,4.85,26,CHL,0,0,19,0,14,3
0,0,0,1982-83,58,1031,0,0,0,0,0,0,Salt Lake Golden Eagles,1,0,0,3.38,27,CHL,0,0,17,0,9,8
0,0,0,1984-85,129,2443,4,0,0,0,0,0,Peoria Rivermen,2,0,0,3.17,29,IHL,0,0,43,0,24,12
0,0,0,1985-86,9,60,0,0,0,0,0,0,Binghamton Whalers,0,0,0,9.00,30,AHL,0,0,1,0,0,1
0,0,0,1985-86,185,3000,0,0,0,0,0,0,Salt Lake Golden Eagles,1,0,0,3.70,30,IHL,0,0,52,0,22,20
0,0,0,1986-87,201,3026,0,0,0,0,0,0,Salt Lake Golden Eagles,1,0,0,3.99,31,IHL,0,0,51,0,29,20
