shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,5,0,1341,26,0,2002-03,0,7,3.36,QAAA,0,75,0,0,11,0,0,16,0,0,0,0,St-Francois Blizzard
529,0,1,469,870,17,0,2003-04,0,3,4.14,QMJHL,0,60,0,0,8,0,.887,17,0,0,0,0,Victoriaville Tigres
780,0,2,716,1632,33,0,2004-05,0,14,2.35,QMJHL,0,64,0,0,9,0,.918,18,5,5,0,0,2 Teams
382,0,0,341,711,15,0,2004-05,0,2,3.46,QMJHL,0,41,0,0,9,0,.893,18,0,2,0,0,Victoriaville Tigres
398,0,2,375,921,18,0,2004-05,0,12,1.50,QMJHL,0,23,0,0,0,0,.942,18,5,3,0,0,Halifax Mooseheads
0,0,0,0,3175,55,3,2005-06,0,25,3.50,QMJHL,0,185,0,0,29,0,0,19,6,4,3,0,Halifax Mooseheads
894,0,0,731,2936,52,2,2006-07,0,25,3.33,QMJHL,0,163,0,0,25,0,.818,20,6,2,2,0,2 Teams
894,0,0,797,1580,28,1,2006-07,0,12,3.68,QMJHL,0,97,0,0,15,0,.891,20,4,1,1,0,Halifax Mooseheads
0,0,0,0,1356,24,1,2006-07,0,13,2.92,QMJHL,0,66,0,0,10,0,0,20,2,1,1,0,Val-d\'Or Foreurs
30,0,0,24,80,2,0,2007-08,0,1,4.50,AHL,0,6,0,0,0,0,.800,21,0,0,0,0,Philadelphia Phantoms
942,0,5,851,1838,31,1,2007-08,0,13,2.97,ECHL,0,91,0,0,13,0,.903,21,4,1,1,0,Dayton Bombers
576,0,2,502,924,18,1,2008-09,0,5,4.81,ECHL,0,74,0,0,9,0,.872,22,6,1,1,0,2 Teams
466,0,2,409,718,13,1,2008-09,0,3,4.76,ECHL,0,57,0,0,7,0,.878,22,4,1,1,0,Mississippi Sea Wolves
110,0,0,93,206,5,0,2008-09,0,2,4.95,ECHL,0,17,0,0,2,0,.845,22,2,0,0,0,South Carolina Stingrays
128,0,0,115,263,5,0,2009-10,0,1,2.97,AHL,0,13,0,0,4,0,.898,23,0,1,0,0,Adirondack Phantoms
646,0,5,584,1162,19,1,2009-10,0,9,3.20,ECHL,0,62,0,0,4,0,.904,23,0,1,1,0,Kalamazoo Wings
0,0,2,0,1309,22,3,2010-11,0,16,2.84,QNAHL,0,62,0,0,3,0,0,24,8,1,3,0,St-Georges CRS Express
