game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,0,6,0,11,2,1990-91,2,0,0,0,,NHL,0.0,0,22,2,[],2,0,,PIT
0,0,0,0,2,0,1991-92,0,0,0,0,,NHL,0,0,23,0,[],0,0,,PIT
1,-5,30,0,58,4,1992-93,4,0,5,0,,NHL,16.7,0,24,14,[],9,5,,PIT
1,-1,52,0,70,5,1993-94,5,0,3,0,,NHL,5.8,0,25,20,[],8,3,,TOT
1,-1,46,0,63,5,1993-94,5,0,3,0,,NHL,6.5,0,25,20,[],8,3,,PIT
0,0,6,0,7,0,1993-94,0,0,0,0,,NHL,0.0,0,25,0,[],0,0,,FLA
0,0,0,0,3,0,1994-95,0,0,0,0,,NHL,0,0,26,0,[],0,0,,FLA
0,2,6,0,10,2,1996-97,2,0,0,0,,NHL,0.0,0,28,0,[],2,0,,HAR
0,0,1,0,2,0,1997-98,0,0,0,0,,NHL,0.0,0,29,0,[],0,0,,CAR
0,-1,8,0,9,3,1998-99,3,0,1,0,10:56,NHL,12.5,0,30,2,[],4,1,98,NSH
0,-8,28,0,69,4,1999-00,4,0,3,0,7:42,NHL,10.7,0,31,10,[],7,3,531,CAR
0,-3,42,0,67,1,2000-01,1,0,1,0,7:30,NHL,2.4,0,32,15,[],2,1,502,CAR
0,-6,40,0,65,1,2001-02,1,1,4,0,8:07,NHL,10.0,0,33,12,[],5,3,527,CAR
0,-9,41,0,59,4,2002-03,4,0,0,0,8:25,NHL,0.0,0,34,8,[],4,0,497,CAR
