goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
93,2.58,1,2009-10,33,,720,0,2,7,354,387,0,DET,1,0,12,2.75,25,NHL,.915,.583,12,0,5,7
91,2.75,0,2010-11,28,,673,0,2,6,336,364,0,DET,0,0,11,2.50,26,NHL,.923,.545,11,0,7,4
143,-3.88,1,2011-12,13,,295,0,0,2,103,116,0,DET,0,0,5,2.64,27,NHL,.888,.400,5,0,1,4
98,0.60,0,2012-13,35,,859,0,2,11,426,461,0,DET,1,0,14,2.44,28,NHL,.924,.786,14,0,7,7
0,0,0,2013-14,6,,178,0,0,2,81,87,0,DET,1,0,3,2.02,29,NHL,.931,.667,3,0,1,2
0,0,0,2014-15,1,,20,0,0,0,11,12,0,DET,0,0,0,3.00,30,NHL,.917,0,1,0,0,0
0,0,0,2015-16,7,,117,0,0,0,57,64,0,DET,0,0,2,3.59,31,NHL,.891,.000,2,0,0,2
