goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0.7,0,0,2005-06,[],10,201,0,0,0,94,104,0,DET,0,0,0,2.99,21,NHL,.904,0,4,0,1,2
0,0.8,0,0,2007-08,[],7,197,0,0,1,88,95,0,DET,0,0,2,2.13,23,NHL,.926,.500,4,0,0,2
0,0.0,0,0,2008-09,[],4,59,0,0,0,24,28,0,DET,0,0,1,4.07,24,NHL,.857,.000,1,0,0,1
86,13.8,23.06,7,2009-10,"[{'link': '/awards/voting-2010.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2010.html#calder', 'name': 'Calder-2'}, {'link': '/awards/voting-2010.html#vezina', 'name': 'Vezina-8'}]",141,3740,10,2,36,1708,1849,2,DET,3,0,60,2.26,25,NHL,.924,.600,63,2,37,15
105,9.9,-8.58,8,2010-11,[],168,3615,5,4,30,1662,1830,1,DET,2,0,63,2.79,26,NHL,.908,.476,63,1,37,17
92,10.3,10.35,8,2011-12,"[{'link': '/awards/voting-2012.html#AS', 'name': 'AS-8'}]",119,3360,4,6,35,1377,1496,1,DET,6,0,57,2.12,27,NHL,.920,.614,57,1,35,17
87,8.4,12.44,7,2012-13,"[{'link': '/awards/voting-2013.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-2013.html#vezina', 'name': 'Vezina-6'}]",87,2446,7,0,26,1042,1129,1,DET,0,0,42,2.13,28,NHL,.923,.619,42,1,21,13
104,8.3,-5.30,7,2013-14,[],133,3004,11,6,25,1349,1482,0,DET,2,0,50,2.66,29,NHL,.910,.500,51,0,21,19
105,7.4,-5.77,8,2014-15,[],121,2971,11,2,26,1229,1350,1,DET,2,0,50,2.44,30,NHL,.910,.520,53,1,23,13
110,4.8,-8.65,6,2015-16,[],92,1974,5,2,16,887,979,1,DET,2,0,33,2.80,31,NHL,.906,.485,37,1,14,14
84,5.1,9.42,4,2016-17,[],49,1397,1,2,16,626,675,0,DET,1,0,24,2.10,32,NHL,.927,.667,26,0,10,11
