pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Fredericton Canadiens,1,0,5,YCHL,2,1961-62,15,4
0,Peterborough Petes,1,0,1,OHA-Jr.,6,1962-63,16,0
4,Peterborough Petes,2,0,4,OHA-Jr.,5,1963-64,17,2
4,Peterborough Petes,7,0,14,OHA-Jr.,12,1964-65,18,7
10,Peterborough Petes,5,0,7,OHA-Jr.,4,1965-66,19,2
2,Houston Apollos,4,0,8,CPHL,6,1966-67,20,4
