pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Cornwall Aces,0,0,0,AHL,3,1994-95,23,0
17,Cornwall Aces,1,0,2,AHL,8,1995-96,24,1
49,Hershey Bears,9,0,15,AHL,23,1996-97,25,6
40,Hamilton Bulldogs,4,0,8,AHL,9,1997-98,26,4
8,Milwaukee Admirals,2,0,3,IHL,2,1998-99,27,1
45,Kentucky Thoroughblades,3,0,4,AHL,9,1999-00,28,1
22,Worcester IceCats,0,0,2,AHL,8,2000-01,29,2
