assists,year,games_played,points,goals,team,age,pim,plus_minus,league
11,1975-76,59,15,4,2 Teams,17,67,0,QMJHL
6,1975-76,28,8,2,Quebec Remparts,17,15,0,QMJHL
5,1975-76,31,7,2,Hull Festivals,17,52,0,QMJHL
42,1976-77,72,51,9,Hull Olympiques,18,178,0,QMJHL
40,1977-78,74,51,11,3 Teams,19,134,0,QMJHL
9,1977-78,15,12,3,Hull Olympiques,19,22,0,QMJHL
14,1977-78,27,16,2,Trois-Rivieres Draveurs,19,61,0,QMJHL
17,1977-78,32,23,6,Quebec Remparts,19,51,0,QMJHL
23,1978-79,71,29,6,New Haven Nighthawks,20,134,0,AHL
21,1979-80,63,30,9,New Haven Nighthawks,21,99,0,AHL
41,1980-81,58,49,8,New Haven Nighthawks,22,105,0,AHL
8,1981-82,23,11,3,Springfield Indians,23,20,0,AHL
22,1984-85,39,25,3,New Haven Nighthawks,26,48,0,AHL
18,1985-86,65,28,10,Hershey Bears,27,128,0,AHL
