age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,0,0,1,0,NHL,5,0,1953-54,0,0,0,,0,9,,TOR,1
21,,0,0,1,0,NHL,4,0,1954-55,0,0,0,,0,6,,TOR,1
25,,0,0,2,0,NHL,6,0,1958-59,0,0,2,,0,8,,CBH,4
26,,0.0,0,0,-2,NHL,4,0,1959-60,0,7,0,,0,2,,CBH,0
27,SC,14.3,0,3,6,NHL,11,0,1960-61,0,14,2,,0,6,,CBH,5
28,,0.0,0,5,-3,NHL,0,0,1961-62,0,19,0,,0,22,,CBH,5
29,,14.3,0,3,-1,NHL,6,0,1962-63,0,14,2,,0,8,,CBH,5
30,,25.0,0,1,-1,NHL,7,0,1963-64,0,8,2,,0,8,,CBH,3
31,,11.8,0,2,-1,NHL,0,0,1964-65,0,17,2,,0,16,,CBH,4
32,,5.9,0,0,1,NHL,6,0,1965-66,0,17,1,,0,4,,CBH,1
33,,8.3,0,2,1,NHL,6,0,1966-67,0,12,1,,0,2,,CBH,3
34,,0.0,0,1,-6,NHL,10,0,1967-68,0,9,0,,0,2,,CBH,1
36,,12.5,1,2,3,NHL,7,0,1969-70,0,8,1,,0,4,,CBH,3
37,,0.0,0,1,-8,NHL,18,0,1970-71,0,14,0,,0,19,,CBH,1
38,,0.0,0,0,-1,NHL,8,0,1971-72,0,1,0,,0,11,,CBH,0
