power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,8,6,0,NHL,1984-85,20,1,WIN,,5,4,-3,0,20,,,5.0,0
0,3,1,0,NHL,1985-86,21,0,WIN,,1,0,-4,0,7,,,0.0,0
0,10,8,0,NHL,1986-87,22,0,WIN,,8,2,-1,0,22,,,0.0,0
1,5,3,0,NHL,1987-88,23,1,WIN,,2,10,-5,0,16,,,6.3,0
2,7,2,1,NHL,1989-90,25,2,WIN,,0,6,-6,0,22,,,9.1,0
2,21,12,0,NHL,1992-93,28,4,TOR,,8,8,4,0,62,,,6.5,2
3,18,18,0,NHL,1993-94,29,3,TOR,,15,31,1,0,33,,,9.1,0
0,7,2,0,NHL,1994-95,30,0,TOR,,2,0,-5,0,18,,,0.0,0
0,6,0,0,NHL,1995-96,31,0,TOR,,0,4,-5,0,16,,,0.0,0
0,10,3,0,NHL,1996-97,32,0,NJD,,3,10,-1,0,15,,,0.0,0
0,6,1,0,NHL,1997-98,33,0,BOS,,1,6,-1,0,11,,,0.0,0
0,8,0,0,NHL,1998-99,34,0,BOS,10:36,0,4,0,0,4,85,,0.0,0
0,7,1,0,NHL,1999-00,35,0,STL,11:59,1,2,1,0,2,84,,0.0,0
