shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,3,0,1437,24,0,1986-87,0,5,3.17,ECAC-2,0,76,0,0,11,0,0,19,0,0,0,0,St. Anselm College Hawks
0,0,0,0,1090,20,0,1988-89,0,16,3.14,H-East,0,57,0,0,4,0,0,21,0,1,0,0,University of Maine
0,0,0,0,1257,23,0,1989-90,0,16,3.25,H-East,0,68,0,0,4,0,0,22,0,0,0,0,University of Maine
0,0,9,0,2893,52,0,1990-91,0,23,3.32,AHL,0,160,0,0,18,0,0,23,0,2,0,0,Maine Mariners
0,0,0,0,1369,25,0,1991-92,0,5,4.43,AHL,0,101,0,0,15,0,0,24,0,0,0,0,Maine Mariners
0,0,1,0,478,9,0,1992-93,0,0,7.28,AHL,0,58,0,0,7,0,0,25,0,0,0,0,Providence Bruins
0,0,0,0,20,1,0,1992-93,0,0,6.00,IHL,0,2,0,0,0,0,0,25,0,0,0,0,San Diego Gulls
0,0,4,0,1877,31,0,1993-94,0,18,2.94,ECHL,0,92,0,0,9,0,0,26,0,1,0,0,Raleigh IceCaps
0,0,3,0,374,6,0,1993-94,0,1,3.53,AHL,0,22,0,0,2,0,0,26,0,0,0,0,2 Teams
0,0,2,0,309,5,0,1993-94,0,1,3.69,AHL,0,19,0,0,2,0,0,26,0,0,0,0,Albany River Rats
0,0,1,0,65,1,0,1993-94,0,0,2.77,AHL,0,3,0,0,0,0,0,26,0,0,0,0,Springfield Indians
0,0,0,0,52,1,0,1994-95,0,0,5.77,IHL,0,5,0,0,0,0,0,27,0,0,0,0,Atlanta Knights
0,0,3,0,1312,23,0,1994-95,0,9,4.39,ECHL,0,96,0,0,10,0,0,27,0,0,0,0,2 Teams
0,0,1,0,303,5,0,1994-95,0,2,2.97,ECHL,0,15,0,0,2,0,0,27,0,0,0,0,Charlotte Checkers
0,0,2,0,1009,18,0,1994-95,0,7,4.82,ECHL,0,81,0,0,8,0,0,27,0,0,0,0,Nashville Knights
0,0,3,0,1738,35,0,1995-96,0,13,3.56,ECHL,0,103,0,0,10,0,0,28,0,3,0,0,Roanoke Express
0,0,7,0,2620,49,0,1996-97,0,13,4.42,WPHL,0,193,0,0,26,0,0,29,0,0,0,0,Amarillo Rattlers
511,0,4,339,2520,47,0,1997-98,0,16,4.10,WPHL,0,172,0,0,24,0,.663,30,0,2,0,0,2 Teams
0,0,4,0,1598,31,0,1997-98,0,7,4.66,WPHL,0,124,0,0,17,0,0,30,0,0,0,0,Amarillo Rattlers
511,0,0,463,922,16,0,1997-98,0,9,3.12,WPHL,0,48,0,0,7,0,.906,30,0,2,0,0,Monroe Moccasins
336,0,1,289,677,12,0,1998-99,0,6,4.17,WPHL,0,47,0,0,5,0,.860,31,4,0,0,0,2 Teams
248,0,0,212,478,8,0,1998-99,0,5,4.52,WPHL,0,36,0,0,3,0,.855,31,4,0,0,0,Monroe Moccasins
88,0,1,77,199,4,0,1998-99,0,1,3.32,WPHL,0,11,0,0,2,0,.875,31,0,0,0,0,Corpus Christi Ice Rays
