points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/stevejo01c.html', 'name': 'J. Stevens'}]",NHL,LAK,2017-18,0,0,0,Los Angeles Kings,0,,0,0,
86,"[{'link': '/coaches/sutteda01c.html', 'name': 'D. Sutter'}]",NHL,LAK,2016-17,39,35,8,Los Angeles Kings,.524,,0,82,5th
102,"[{'link': '/coaches/sutteda01c.html', 'name': 'D. Sutter'}]",NHL,LAK,2015-16,48,28,6,Los Angeles Kings,.622,Lost NHL First Round,0,82,2nd
95,"[{'link': '/coaches/sutteda01c.html', 'name': 'D. Sutter'}]",NHL,LAK,2014-15,40,27,15,Los Angeles Kings,.579,,0,82,4th
100,"[{'link': '/coaches/sutteda01c.html', 'name': 'D. Sutter'}]",NHL,LAK,2013-14,46,28,8,Los Angeles Kings,.610,,0,82,3rd
59,"[{'link': '/coaches/sutteda01c.html', 'name': 'D. Sutter'}]",NHL,LAK,2012-13,27,16,5,Los Angeles Kings,.615,Lost NHL Conference Finals,0,48,2nd
95,"[{'link': '/coaches/murrate01c.html', 'name': 'T. Murray'}, {'link': '/coaches/stevejo01c.html', 'name': 'J. Stevens'}, {'link': '/coaches/sutteda01c.html', 'name': 'D. Sutter'}]",NHL,LAK,2011-12,40,27,15,Los Angeles Kings,.579,,0,82,3rd
98,"[{'link': '/coaches/murrate01c.html', 'name': 'T. Murray'}]",NHL,LAK,2010-11,46,30,6,Los Angeles Kings,.598,Lost NHL Conference Quarter-Finals,0,82,4th
101,"[{'link': '/coaches/murrate01c.html', 'name': 'T. Murray'}]",NHL,LAK,2009-10,46,27,9,Los Angeles Kings,.616,Lost NHL Conference Quarter-Finals,0,82,3rd
79,"[{'link': '/coaches/murrate01c.html', 'name': 'T. Murray'}]",NHL,LAK,2008-09,34,37,11,Los Angeles Kings,.482,,0,82,5th
71,"[{'link': '/coaches/crawfma01c.html', 'name': 'M. Crawford'}]",NHL,LAK,2007-08,32,43,7,Los Angeles Kings,.433,,0,82,5th
68,"[{'link': '/coaches/crawfma01c.html', 'name': 'M. Crawford'}]",NHL,LAK,2006-07,27,41,14,Los Angeles Kings,.415,,0,82,4th
89,"[{'link': '/coaches/murraan99c.html', 'name': 'A. Murray'}, {'link': '/coaches/torchjo99c.html', 'name': 'J. Torchetti'}]",NHL,LAK,2005-06,42,35,5,Los Angeles Kings,.543,,0,82,4th
81,"[{'link': '/coaches/murraan99c.html', 'name': 'A. Murray'}]",NHL,LAK,2003-04,28,29,9,Los Angeles Kings,.494,,16,82,3rd
78,"[{'link': '/coaches/murraan99c.html', 'name': 'A. Murray'}]",NHL,LAK,2002-03,33,37,6,Los Angeles Kings,.476,,6,82,3rd
95,"[{'link': '/coaches/murraan99c.html', 'name': 'A. Murray'}]",NHL,LAK,2001-02,40,27,4,Los Angeles Kings,.579,Lost NHL Conference Quarter-Finals,11,82,3rd
92,"[{'link': '/coaches/murraan99c.html', 'name': 'A. Murray'}]",NHL,LAK,2000-01,38,28,3,Los Angeles Kings,.561,Lost NHL Conference Semi-Finals,13,82,3rd
94,"[{'link': '/coaches/murraan99c.html', 'name': 'A. Murray'}]",NHL,LAK,1999-00,39,27,4,Los Angeles Kings,.573,Lost NHL Conference Quarter-Finals,12,82,2nd
69,"[{'link': '/coaches/robinla01c.html', 'name': 'L. Robinson'}]",NHL,LAK,1998-99,32,45,0,Los Angeles Kings,.421,,5,82,5th
87,"[{'link': '/coaches/robinla01c.html', 'name': 'L. Robinson'}]",NHL,LAK,1997-98,38,33,0,Los Angeles Kings,.530,Lost NHL Conference Quarter-Finals,11,82,2nd
67,"[{'link': '/coaches/robinla01c.html', 'name': 'L. Robinson'}]",NHL,LAK,1996-97,28,43,0,Los Angeles Kings,.409,,11,82,6th
66,"[{'link': '/coaches/robinla01c.html', 'name': 'L. Robinson'}]",NHL,LAK,1995-96,24,40,0,Los Angeles Kings,.402,,18,82,6th
41,"[{'link': '/coaches/melroba01c.html', 'name': 'B. Melrose'}, {'link': '/coaches/vachoro01c.html', 'name': 'R. Vachon'}]",NHL,LAK,1994-95,16,23,0,Los Angeles Kings,.427,,9,48,4th
66,"[{'link': '/coaches/melroba01c.html', 'name': 'B. Melrose'}]",NHL,LAK,1993-94,27,45,0,Los Angeles Kings,.393,,12,84,5th
88,"[{'link': '/coaches/melroba01c.html', 'name': 'B. Melrose'}]",NHL,LAK,1992-93,39,35,0,Los Angeles Kings,.524,Lost Stanley Cup Final,10,84,3rd
