goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
82,2.8,7.95,0,1991-92,[],36,738,1,0,0,357,393,1,STL,0,0,0,2.93,25,NHL,.908,0,13,1,5,5
102,3.2,-1.50,0,1992-93,[],74,1210,2,2,0,556,630,0,STL,1,0,0,3.67,26,NHL,.883,0,24,0,8,8
89,9.7,17.76,0,1993-94,[],141,2991,3,2,0,1372,1513,0,MDA,2,0,0,2.83,27,NHL,.907,0,52,0,20,27
97,6.6,3.54,0,1994-95,[],109,2092,4,2,0,1023,1132,0,MDA,2,0,0,3.13,28,NHL,.904,0,39,0,12,20
85,12.3,27.87,0,1995-96,"[{'link': '/awards/voting-1996.html#vezina', 'name': 'Vezina-10'}]",157,3326,5,6,0,1663,1820,0,MDA,4,0,0,2.83,29,NHL,.914,0,59,0,28,23
85,14.7,31.22,0,1996-97,"[{'link': '/awards/voting-1997.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1997.html#hart', 'name': 'Hart-19'}, {'link': '/awards/voting-1997.html#vezina', 'name': 'Vezina-4'}]",172,3863,12,4,0,1961,2133,1,MDA,4,0,0,2.67,30,NHL,.919,0,67,1,29,25
104,7.4,-4.45,0,1997-98,[],130,2660,6,4,0,1209,1339,1,MDA,3,0,0,2.93,31,NHL,.903,0,46,1,13,24
85,15.6,29.93,0,1998-99,"[{'link': '/awards/voting-1999.html#vezina', 'name': 'Vezina-6'}]",165,4083,9,0,0,0,0,1,MDA,6,0,0,2.42,32,NHL,.922,0,69,1,31,29
96,11.7,6.57,0,1999-00,[],166,3976,9,2,0,1639,1805,2,MDA,4,0,0,2.51,33,NHL,.908,0,68,2,28,0
107,8.3,-9.86,0,2000-01,[],157,2950,5,0,0,1364,1521,0,TOT,2,0,0,3.19,34,NHL,.897,0,54,0,17,30
107,6.0,-7.43,0,2000-01,[],115,2215,4,0,0,997,1112,0,MDA,2,0,0,3.12,34,NHL,.897,0,41,0,12,23
106,2.2,-2.43,0,2000-01,[],42,735,1,0,0,367,409,0,NYR,0,0,0,3.43,34,NHL,.897,0,13,0,5,7
