assists,team,goals,year,games_played,points,pim,age,plus_minus,league
17,Cambridge Winterhawks,13,1984-85,38,30,39,15,0,ON-Jr.B
22,Peterborough Petes,20,1985-86,61,42,29,16,0,OHL
34,Peterborough Petes,18,1986-87,49,52,22,17,0,OHL
44,Peterborough Petes,50,1987-88,60,94,33,18,0,OHL
1,Canada,2,1987-88,7,3,2,18,0,WJC-A
10,Binghamton Whalers,7,1989-90,21,17,6,20,0,AHL
31,Binghamton Rangers,34,1991-92,69,65,28,22,0,AHL
0,Orlando Solar Bears,0,1999-00,1,0,0,30,0,IHL
1,Grand Rapids Griffins,2,2001-02,3,3,2,32,1,AHL
9,Binghamton Senators,1,2003-04,32,10,6,34,-2,AHL
