assists,year,games_played,points,goals,team,age,pim,plus_minus,league
4,1991-92,3,5,1,DS Olomouc,23,0,0,Czech
5,1992-93,4,8,3,EHC Eisbaren Berlin,24,5,0,Germany
7,1993-94,12,11,4,HC Olomouc,25,0,0,CzRep
11,1995-96,13,20,9,HC Petra Vsetin,27,10,0,CzRep
4,1996-97,10,11,7,HC Petra Vsetin,28,22,0,CzRep
6,1997-98,10,18,12,HC Petra Vsetin,29,4,0,CzRep
6,1998-99,12,7,1,HC Slovnaft Vsetin,30,0,0,CzRep
4,1999-00,9,4,0,HC Slovnaft Viva Vsetin,31,6,0,CzRep
13,2000-01,14,21,8,HC Slovnaft Vsetin,32,18,0,CzRep
9,2003-04,7,10,1,HC Moeller Pardubice,35,4,0,CzRep
3,2004-05,16,5,2,HC Moeller Pardubice,36,18,0,CzRep
4,2005-06,11,8,4,HC Znojemsti Orli Znojmo,37,4,0,CzRep
2,2006-07,10,4,2,HC Znojemsti Orli Znojmo,38,26,0,CzRep
1,2007-08,3,1,0,HC Znojemsti Orli Znojmo,39,2,0,CzRep
