average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,18,0,0,0,0,0,0,0,0,1981-82,NYI,0,0,[],0,,1
,9,1,0,NHL,19,4,24,-5,52,1,3,0,1,1982-83,NYI,4,5,[],7.7,,29
,11,0,0,NHL,20,10,36,18,31,0,0,0,1,1983-84,NYI,0,11,[],0.0,,28
,35,3,1,NHL,21,12,90,0,137,9,2,0,11,1984-85,NYI,12,23,[],8.8,,78
,34,0,0,NHL,22,19,100,-5,124,4,0,0,11,1985-86,NYI,4,30,[],3.2,,77
,20,0,1,NHL,23,10,92,-1,89,5,1,0,3,1986-87,TOT,7,13,[],7.9,,62
,14,0,1,NHL,23,7,84,-2,68,3,1,0,2,1986-87,BOS,5,9,[],7.4,,52
,6,0,0,NHL,23,3,8,1,21,2,0,0,1,1986-87,MNS,2,4,[],9.5,,10
,1,0,0,NHL,24,0,12,-3,9,0,0,0,1,1987-88,TOT,0,1,[],0.0,,10
,1,0,0,NHL,24,0,6,-1,3,0,0,0,1,1987-88,NYR,0,1,[],0.0,,4
,0,0,0,NHL,24,0,6,-2,6,0,0,0,0,1987-88,WIN,0,0,[],0.0,,6
,0,0,0,NHL,25,0,4,2,4,0,0,0,0,1988-89,WIN,0,0,[],0.0,,3
