assists,team,goals,year,games_played,points,pim,age,plus_minus,league
29,St. Albert Raiders,9,1991-92,38,38,94,15,0,AMHL
25,St. Albert Raiders,11,1992-93,31,36,36,16,0,AMHL
0,Kamloops Blazers,0,1992-93,4,0,2,16,0,WHL
15,Kamloops Blazers,14,1993-94,59,29,80,17,0,WHL
32,Kamloops Blazers,9,1994-95,71,41,65,18,0,WHL
33,Kamloops Blazers,24,1995-96,63,57,98,19,0,WHL
1,Canada,2,1995-96,6,3,4,19,0,WJC-A
25,Kentucky Thoroughblades,14,1996-97,72,39,46,20,0,AHL
20,2 Teams,10,1997-98,59,30,39,21,-7,AHL
16,Kentucky Thoroughblades,10,1997-98,50,26,29,21,-12,AHL
4,Rochester Americans,0,1997-98,9,4,10,21,5,AHL
25,Rochester Americans,4,1998-99,74,29,36,22,30,AHL
15,Rochester Americans,3,1999-00,54,18,24,23,11,AHL
19,Rochester Americans,4,2000-01,63,23,45,24,4,AHL
18,Manchester Monarchs,9,2001-02,65,27,39,25,2,AHL
27,Manchester Monarchs,4,2002-03,67,31,53,26,0,AHL
4,HC Alleghe,3,2004-05,13,7,6,28,0,Italy
9,Manchester Monarchs,1,2004-05,53,10,64,28,10,AHL
18,ERC Ingolstadt,10,2005-06,50,28,56,29,0,Germany
19,ERC Ingolstadt,12,2006-07,48,31,96,30,0,Germany
17,ERC Ingolstadt,5,2007-08,55,22,91,31,0,Germany
1,Germany,0,2007-08,2,1,2,31,0,WC-A
19,ERC Ingolstadt,6,2008-09,51,25,80,32,0,Germany
11,DEG Metro Stars Dusseldorf,1,2009-10,56,12,40,33,0,Germany
19,DEG Metro Stars Dusseldorf,8,2010-11,51,27,34,34,0,Germany
15,DEG Metro Stars Dusseldorf,5,2011-12,52,20,63,35,0,Germany
