even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,NYR,0,0,26,0,,NHL,0,1,,1977-78,3,0.0,,0,0,-1
0,0,LAK,0,2,27,0,,NHL,0,1,,1978-79,2,0.0,,0,0,0
