goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.3,0,NHL,2,TOR,62,20,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1965-66,0,1.94,0,[],0
0.0,0,NHL,1,TOR,60,21,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1966-67,0,5.00,0,[],0
1.0,0,NHL,7,TOR,335,23,2,0,0,16,0,0,1,0,2,0,0,0,0,0,1968-69,0,2.87,0,[],0
6.4,0,NHL,46,PIT,2555,24,20,0,0,129,0,0,8,2,15,0,0,0,0,0,1969-70,0,3.03,20,[],0
6.7,0,NHL,46,PIT,2472,25,22,0,0,128,0,0,9,2,9,0,0,0,0,0,1970-71,0,3.11,41,[],0
6.0,0,NHL,43,DET,2500,26,20,0,4,135,0,0,4,4,18,4,0,0,0,0,1971-72,0,3.24,23,[],0
0,0,WHA,51,NEW,3059,27,0,96,1,162,0,6.43,0,3,0,1,0,0,0,.894,1972-73,1535,3.18,39,[],1373
0,0,WHA,55,NEW,3194,28,0,95,3,164,0,7.79,0,2,0,3,0,0,0,.895,1973-74,1569,3.08,33,[],1405
0,0,WHA,59,NEW,3494,29,0,107,0,202,0,-12.98,0,2,0,0,0,0,0,.883,1974-75,1725,3.47,18,[],1523
2.6,0,NHL,14,BUF,840,30,3,0,0,43,0,0,2,0,9,0,0,0,0,0,1975-76,0,3.07,0,[],0
0.3,0,NHL,7,BUF,265,31,3,0,0,19,0,0,0,0,0,0,0,0,0,0,1976-77,0,4.30,0,[],0
0,0,WHA,55,NEW,3246,32,0,93,3,174,0,13.49,0,2,0,3,0,0,0,.885,1977-78,1510,0,4,"[{'link': '/awards/wha_all_star.html#1978', 'name': None}, {'link': '/awards/hatskin.html#1978', 'name': None}]",1336
0,0,WHA,40,NEW,2396,33,0,99,3,132,0,1.89,0,1,0,3,0,0,0,.883,1978-79,1124,3.31,35,[],992
4.3,0,NHL,30,HAR,1754,34,10,0,1,107,0,0,8,2,11,1,0,0,0,0,1979-80,0,3.66,10,[],0
2.9,0,NHL,37,CLR,1909,35,18,0,2,151,0,0,4,0,9,2,0,0,0,0,1980-81,0,4.75,51,[],0
