shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,1165,24,0,1979-80,0,0,3.24,NEJHL,0,63,0,0,0,0,0,17,0,0,0,0,South Shore Bruins
0,0,0,0,399,8,0,1980-81,0,4,3.61,ECAC,0,24,0,0,2,0,0,18,0,0,0,0,Boston University Terriers
0,0,0,0,141,3,0,1980-81,0,0,5.96,WJC-A,0,14,0,0,0,0,0,18,0,0,0,0,United States
0,0,3,0,1101,20,0,1981-82,0,9,3.22,ECAC,0,59,0,0,6,0,0,19,0,3,0,0,Boston University Terriers
0,0,1,0,1398,24,0,1982-83,0,15,3.35,ECAC,0,78,0,0,7,0,0,20,0,1,0,0,Boston University Terriers
0,0,0,0,1972,35,0,1983-84,0,25,2.92,ECAC,0,96,0,0,10,0,0,21,0,1,0,0,Boston University Terriers
0,0,4,0,1614,30,0,1984-85,0,9,4.42,AHL,0,119,0,0,13,0,0,22,0,0,0,0,Hershey Bears
0,0,6,0,2343,41,0,1985-86,0,19,3.61,AHL,0,141,0,0,14,0,0,23,0,0,0,0,Moncton Golden Flames
0,0,0,0,1452,27,0,1986-87,0,8,4.88,AHL,0,118,0,0,14,0,0,24,0,0,0,0,Moncton Golden Flames
0,0,3,0,483,9,0,1987-88,0,1,5.84,IHL,0,47,0,0,5,0,0,25,0,0,0,0,Milwaukee Admirals
0,0,1,0,848,17,0,1987-88,0,7,4.10,AHL,0,58,0,0,6,0,0,25,0,0,0,0,3 Teams
0,0,0,0,122,3,0,1987-88,0,1,4.43,AHL,0,9,0,0,1,0,0,25,0,0,0,0,Hershey Bears
0,0,1,0,344,6,0,1987-88,0,2,4.71,AHL,0,27,0,0,2,0,0,25,0,0,0,0,Binghamton Whalers
0,0,0,0,382,8,0,1987-88,0,4,3.46,AHL,0,22,0,0,3,0,0,25,0,0,0,0,Rochester Americans
0,0,0,0,0,21,0,1988-89,0,0,0,Finland-2,0,74,0,0,0,0,0,26,0,0,0,0,Jokerit Helsinki
0,0,0,0,20,1,0,1988-89,0,0,3.00,WEC-A,0,1,0,0,0,0,0,26,0,0,0,0,United States
