bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],0,1.88,0,12,NHL,0,21,0,11,0,0,0,0,1,.917,2001-02,MDA,0,0.1,0,0,0,1,32
0,0,[],0,2.00,0,28,NHL,0,23,0,26,0,0,0,0,2,.929,2003-04,MDA,0,0.2,0,0,1,1,60
0,1,[],2,2.51,6.37,733,NHL,0,25,0,667,4,0,0,91,66,.910,2005-06,MDA,12,5.1,2,1,13,31,1575
0,1,[],0,2.47,1.30,668,NHL,0,26,0,606,0,0,0,98,62,.907,2006-07,ANA,8,4.2,0,6,10,27,1509
5,3,[],0,2.44,19.15,1829,NHL,37,27,.597,1682,2,0,62,88,147,.920,2007-08,TOT,25,13.5,0,6,28,64,3614
1,0,[],0,2.55,0,208,NHL,4,27,.571,189,0,0,7,0,19,.909,2007-08,ANA,3,1.3,0,1,2,9,447
4,3,[],0,2.43,19.26,1621,NHL,33,27,.600,1493,2,0,55,87,128,.921,2007-08,PHX,22,12.3,0,5,26,55,3167
13,3,[],2,2.98,-4.53,1994,NHL,33,28,.532,1807,4,0,62,102,187,.906,2008-09,PHX,0,11.4,2,6,26,65,3760
10,8,"[{'link': '/awards/nhl_all_star.html#2010', 'name': None}, {'link': '/awards/voting-2010.html#hart', 'name': 'Hart-5'}, {'link': '/awards/voting-2010.html#vezina', 'name': 'Vezina-2'}]",1,2.29,18.00,1961,NHL,43,29,.632,1805,4,0,68,90,156,.920,2009-10,PHX,20,13.9,1,6,42,69,4084
6,7,"[{'link': '/awards/voting-2011.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-2011.html#hart', 'name': 'Hart-18'}, {'link': '/awards/voting-2011.html#vezina', 'name': 'Vezina-6'}]",0,2.48,17.12,2125,NHL,40,30,.597,1957,2,0,67,91,168,.921,2010-11,PHX,20,14.7,0,10,36,68,4060
14,6,[],2,2.48,-6.64,1554,NHL,32,31,.561,1413,4,0,57,105,141,.909,2011-12,PHI,16,8.6,2,7,33,59,3415
10,1,[],3,2.79,-13.11,1066,NHL,20,32,.500,959,0,0,40,114,107,.900,2012-13,PHI,17,5.0,3,3,19,40,2298
4,4,[],0,2.68,-4.23,891,NHL,16,33,.533,810,0,0,30,106,81,.909,2013-14,TOT,9,4.9,0,8,12,32,1814
2,1,[],0,3.01,-3.40,622,NHL,10,33,.526,565,0,0,19,106,57,.908,2013-14,EDM,8,3.3,0,5,5,20,1135
2,3,[],0,2.12,0,269,NHL,6,33,.545,245,0,0,11,0,24,.911,2013-14,MIN,1,1.5,0,3,7,12,679
3,0,[],2,4.19,0,150,NHL,2,34,.333,127,0,0,6,0,23,.847,2014-15,ANA,4,-0.3,2,1,1,8,329
