bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,1,1,3.18,3.04,550,WHA,0,22,0,502,0,0,0,94,48,.913,1974-75,QBN,0,,1,0,0,15,906
0,0,0,4.41,0,0,WHA,0,23,0,0,2,0,0,0,22,0,1975-76,QBN,0,,0,0,0,5,299
0,1,0,3.28,2.66,465,WHA,0,24,0,410,2,0,0,95,55,.882,1976-77,QBN,0,,0,0,0,17,1007
0,1,1,3.67,0,0,WHA,0,25,0,0,0,0,0,0,38,0,1977-78,QBN,0,,1,0,0,11,622
0,0,0,7.37,0,0,WHA,0,26,0,0,0,0,0,0,14,0,1978-79,QBN,0,,0,0,0,3,114
0,0,0,4.22,0,0,NHL,0,28,0,0,0,0,0,0,13,0,1980-81,VAN,3,,0,0,0,3,185
0,0,0,2.70,0,0,NHL,0,29,0,0,0,0,0,0,0,0,1981-82,VAN,6,,0,0,11,17,1089
0,0,0,4.04,0,0,NHL,0,30,0,0,0,0,0,0,13,0,1982-83,VAN,3,,0,0,0,3,193
0,1,0,3.24,-0.19,115,NHL,0,31,0,103,2,0,0,102,12,.896,1983-84,VAN,3,,0,0,1,4,222
0,0,0,6.00,0,79,NHL,0,33,0,67,2,0,0,0,12,.848,1985-86,VAN,2,,0,0,0,2,120
0,0,0,3.60,0,87,NHL,0,35,0,75,0,0,0,0,12,.862,1987-88,HAR,3,,0,0,1,4,200
