average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,WHA,20,0,19,-2,0,0,0,0,0,1978-79,NEW,0,0,[],0,,12
,1,0,0,NHL,21,0,2,-2,2,0,0,0,1,1979-80,HAR,0,1,[],0.0,,3
,8,0,0,NHL,22,3,93,-5,29,5,0,0,0,1980-81,HAR,5,3,[],17.2,,43
,1,0,0,NHL,23,1,32,1,3,0,0,0,0,1981-82,MTL,0,1,[],0.0,,3
,0,0,0,NHL,25,0,19,-1,2,0,0,0,0,1983-84,CGY,0,0,[],0.0,,4
,12,1,0,NHL,26,4,209,-18,39,6,2,0,0,1984-85,TOR,8,4,[],20.5,,68
,1,0,0,NHL,27,0,79,1,12,1,0,0,0,1985-86,TOT,1,0,[],8.3,,25
,0,0,0,NHL,27,0,67,0,8,0,0,0,0,1985-86,TOR,0,0,[],0.0,,21
,1,0,0,NHL,27,0,12,1,4,1,0,0,0,1985-86,EDM,1,0,[],25.0,,4
,2,0,0,NHL,29,0,78,0,9,2,0,0,0,1987-88,NYR,2,0,[],22.2,,31
,0,0,0,NHL,30,0,0,0,0,0,0,0,0,1988-89,DET,0,0,[],0,,1
