goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
91,7.03,0,1986-87,0,,0,0,43,0,0,0,1,PHI,0,0,0,2.77,22,NHL,.908,0,0,1,0,0
117,-4.36,0,1987-88,30,,379,0,30,0,166,196,2,PHI,0,0,0,4.75,23,NHL,.847,0,7,2,2,4
103,-1.58,0,1988-89,49,,886,0,28,0,396,445,0,PHI,0,1,0,3.32,24,NHL,.890,0,15,1,8,0
82,3.99,0,1992-93,18,,372,0,0,0,193,211,0,QUE,0,0,0,2.90,28,NHL,.915,0,6,0,2,4
0,0,0,1993-94,16,,158,0,4,0,64,80,0,NYI,0,0,0,6.08,29,NHL,.800,0,3,0,0,3
89,4.98,0,1994-95,0,,897,0,4,0,395,437,1,PHI,0,0,0,2.81,30,NHL,.904,0,15,1,10,5
91,2.57,0,1995-96,27,,760,0,6,0,292,319,0,PHI,0,0,0,2.13,31,NHL,.915,0,12,0,6,6
134,-5.54,0,1996-97,22,,444,0,0,0,181,203,0,PHI,0,0,0,2.97,32,NHL,.892,0,8,0,4,3
0,0,0,1997-98,1,,20,0,0,0,7,8,0,PHI,0,0,0,3.00,33,NHL,.875,0,1,0,0,0
