pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Northwood Huskies,46,0,81,High-NY,45,2007-08,17,35
101,Des Moines Buccaneers,33,-9,50,USHL,56,2008-09,18,17
44,Boston University Terriers,12,0,19,H-East,35,2009-10,19,7
75,Boston University Terriers,20,0,34,H-East,35,2010-11,20,14
67,Boston University Terriers,31,0,46,H-East,38,2011-12,21,15
9,Texas Stars,4,-4,5,AHL,9,2011-12,21,1
43,Texas Stars,22,3,35,AHL,57,2012-13,22,13
