pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Shattuck-St. Mary\'s,24,0,47,High-MN,50,1999-00,15,23
3,U.S. National Team Development Program,8,0,15,U-17,13,2000-01,16,7
75,U.S. National Team Development Program,11,0,23,NAHL,34,2000-01,16,12
87,U.S. National Team Development Program,21,0,40,U-18,32,2001-02,17,19
18,U.S. National Team Development Program,4,0,5,USHL,9,2001-02,17,1
37,U.S. National Team Development Program,3,0,8,NAHL,8,2001-02,17,5
45,United States,8,10,12,WJ18-A,8,2001-02,17,4
61,Boston College Eagles,8,0,18,H-East,14,2002-03,18,10
66,Boston College Eagles,23,0,41,H-East,34,2003-04,19,18
8,United States,5,-1,6,WJC-A,6,2003-04,19,1
36,Boston College Eagles,29,0,48,H-East,36,2004-05,20,19
10,Binghamton Senators,8,-8,13,AHL,18,2005-06,21,5
8,Grand Rapids Griffins,2,1,6,AHL,8,2013-14,29,4
