pim,team,assists,plus_minus,points,league,games_played,year,age,goals
62,Burlington Cougars,40,0,62,ON-Jr.A,48,2006-07,17,22
24,Canisius College,10,4,17,AH,20,2007-08,18,7
40,Canisius College,23,1,35,AH,37,2008-09,19,12
36,Canisius College,33,9,53,AH,35,2009-10,20,20
54,Canisius College,19,0,42,AH,37,2010-11,21,23
0,Cincinnati Cyclones,2,4,7,ECHL,3,2010-11,21,5
4,2 Teams,2,-2,6,AHL,7,2010-11,21,4
2,Rochester Americans,0,0,1,AHL,2,2010-11,21,1
2,Milwaukee Admirals,2,-2,5,AHL,5,2010-11,21,3
114,Norfolk Admirals,41,19,80,AHL,75,2011-12,22,39
56,Syracuse Crunch,16,3,28,AHL,36,2012-13,23,12
30,Bridgeport Sound Tigers,18,-8,23,AHL,28,2014-15,25,5
22,Utica Comets,9,6,16,AHL,20,2014-15,25,7
4,Team Canada,3,2,5,Spengler Cup,4,2015-16,26,2
2,SC Bern,1,0,2,Swiss Cup,3,2015-16,26,1
68,SC Bern,30,0,52,NLA,48,2015-16,26,22
6,SC Bern,1,-1,3,Champions HL,4,2015-16,26,2
113,Syracuse Crunch,43,10,60,AHL,56,2016-17,27,17
