game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,-6,34,0,0,27,5,0,2003-04,2,0,1,1,14,NHL,2.9,3,0,0,0,20,0,16:02,[],6,0,0,433,DAL
1,0,-2,91,0,1,81,11,0,2005-06,5,0,3,0,87,NHL,3.3,5,0,0,0,22,0,18:40,[],14,0,3,1512,DAL
1,0,2,68,0,0,74,8,0,2006-07,6,0,4,0,63,NHL,5.9,2,0,0,0,23,0,19:23,[],12,0,4,1434,DAL
1,24,-1,87,0,1,82,19,1,2007-08,13,0,5,0,85,NHL,5.7,5,32,100.0,63,24,178,19:48,[],24,34,5,1624,DAL
2,22,2,104,1,1,75,18,0,2008-09,16,0,7,0,73,NHL,6.7,1,30,0.0,98,25,195,22:00,[],25,31,7,1650,DAL
2,23,3,107,0,1,77,16,0,2009-10,12,0,6,2,25,NHL,5.6,3,36,0,131,26,209,22:11,[],22,37,4,1708,DAL
1,34,7,131,0,0,82,19,0,2010-11,16,0,8,2,34,NHL,6.1,3,32,0,124,27,293,22:29,[],27,42,6,1844,DAL
2,22,3,134,0,0,79,21,0,2011-12,16,0,4,1,42,NHL,3.0,5,45,0,115,28,283,21:39,[],25,25,3,1710,DAL
0,10,1,58,0,1,44,9,0,2012-13,7,0,4,2,14,NHL,6.9,1,27,0,69,29,147,21:25,[],13,20,2,942,DAL
3,15,10,107,0,0,67,16,0,2013-14,13,0,9,1,38,NHL,8.4,3,42,0,94,30,229,21:09,[],25,21,8,1417,DAL
2,29,-13,113,0,0,68,22,0,2014-15,16,2,16,6,34,NHL,14.2,6,29,0,123,31,244,22:53,[],38,32,8,1556,DAL
0,17,9,130,1,0,82,22,0,2015-16,14,0,6,1,34,NHL,4.6,8,42,0.0,79,32,273,18:26,[],28,28,5,1512,TOT
0,3,1,43,1,0,29,6,0,2015-16,4,0,0,0,8,NHL,0.0,2,19,0.0,19,32,101,14:46,[],6,11,0,428,CHI
0,14,8,87,0,0,53,16,0,2015-16,10,0,6,1,26,NHL,6.9,6,23,0,60,32,172,20:27,[],22,17,5,1084,PIT
0,20,7,84,0,1,56,14,0,2016-17,10,0,5,1,37,NHL,6.0,3,29,0,83,33,156,20:23,[],19,18,4,1141,PIT
