league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,28,0,22,31,12,3,,TOR,[],6.5,0,10,-7,2,0,1970-71,,2,13,0,7
NHL,72,1,23,108,21,2,,TOR,[],3.7,2,17,7,4,0,1971-72,,2,58,0,15
WHA,75,0,24,0,34,0,,NEW,[],0,12,21,0,13,0,1972-73,,1,114,0,0
WHA,76,1,25,0,37,0,,NEW,[],0,8,28,0,9,0,1973-74,,1,91,0,0
WHA,77,0,26,148,39,0,,NEW,[],2.7,1,35,1,4,0,1974-75,,3,117,0,0
WHA,40,0,27,55,12,0,,NEW,[],3.6,2,10,5,2,0,1975-76,,0,28,0,0
WHA,41,0,28,60,16,0,,NEW,[],6.7,2,12,-8,4,0,1976-77,,2,71,0,0
WHA,80,0,29,109,31,0,,NEW,[],5.5,4,25,11,6,0,1977-78,,2,88,0,0
WHA,42,0,30,52,16,0,,NEW,[],7.7,2,12,2,4,0,1978-79,,2,47,0,0
NHL,63,0,31,78,14,5,,LAK,[],1.3,0,13,-14,1,0,1979-80,,1,82,0,8
