shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
16.7,0,1999-00,39,10,1046,0,0,0,108,1,10,21,11,WSH,18,0,0,23,1,NHL,4,0,13:14,0,79,0,29,"[{'link': '/awards/voting-2000.html#calder', 'name': 'Calder-12'}]",4
19.1,0,2000-01,60,15,1291,0,0,0,110,6,18,13,21,WSH,21,0,0,24,5,NHL,1,0,16:08,0,80,0,42,"[{'link': '/awards/voting-2001.html#selke', 'name': 'Selke-18'}]",2
6.8,0,2001-02,29,7,735,0,0,0,74,7,5,-9,14,WSH,5,0,0,25,4,NHL,0,0,15:19,0,48,0,19,[],0
10.3,0,2002-03,88,19,1429,1,0,0,126,1,10,6,21,WSH,13,0,0,26,2,NHL,2,0,17:25,0,82,0,34,"[{'link': '/awards/voting-2003.html#selke', 'name': 'Selke-31'}]",1
16.7,0,2003-04,56,15,1505,1,0,0,114,11,12,-21,27,WSH,19,0,0,27,2,NHL,0,0,19:03,0,79,0,46,"[{'link': '/awards/voting-2004.html#byng', 'name': 'Byng-49'}]",7
7.3,0,2005-06,79,18,1400,1,0,0,151,14,5,-8,33,WSH,11,0,0,29,1,NHL,0,0,20:00,0,70,0,44,[],6
7.5,0,2006-07,78,14,1277,0,0,0,106,3,7,-7,17,DAL,8,0,0,30,4,NHL,0,0,16:48,0,76,0,25,[],1
15.2,352,2007-08,54,17,1393,1,32,241,132,4,15,0,22,TOT,20,40,52.0,31,2,NHL,1,46,16:47,81,0,381,42,[],4
11.6,252,2007-08,40,13,1047,1,28,170,86,0,8,-2,14,DAL,10,33,54.0,31,0,NHL,1,39,16:21,55,64,296,24,[],1
21.7,100,2007-08,14,4,346,0,4,71,46,4,7,2,8,TBL,10,7,45.9,31,2,NHL,0,7,18:12,26,19,85,18,[],3
11.7,388,2008-09,32,6,885,0,15,116,60,3,5,-13,9,TBL,7,18,52.8,32,1,NHL,1,39,17:01,28,52,434,16,[],1
12.7,273,2009-10,39,7,1031,0,21,113,71,3,7,-14,10,TOT,9,27,51.6,33,1,NHL,0,46,14:32,42,71,291,19,[],2
13.8,227,2009-10,27,5,861,0,17,101,65,3,7,-13,8,TBL,9,23,52.0,33,1,NHL,0,37,15:39,33,55,246,17,[],2
0.0,46,2009-10,12,2,171,0,4,12,6,0,0,-1,2,LAK,0,4,49.5,33,0,NHL,0,9,10:41,9,16,45,2,[],0
17.7,256,2010-11,29,15,917,0,18,111,62,0,10,6,15,MTL,11,15,56.9,34,3,NHL,1,53,12:44,42,72,338,26,"[{'link': '/awards/voting-2011.html#selke', 'name': 'Selke-53'}]",0
6.3,260,2011-12,24,12,870,0,6,104,63,0,4,-1,12,WSH,4,22,58.4,35,1,NHL,0,44,12:36,55,69,365,16,[],0
3.8,163,2012-13,10,2,468,0,4,50,26,0,1,-8,2,TOT,1,15,56.1,36,1,NHL,0,22,10:11,56,46,208,3,[],0
0.0,71,2012-13,8,1,275,0,1,25,13,0,0,-5,1,NYR,0,9,56.7,36,0,NHL,0,13,9:10,36,30,93,1,[],0
7.7,92,2012-13,2,1,194,0,3,25,13,0,1,-3,1,MTL,1,6,55.6,36,1,NHL,0,9,12:06,20,16,115,2,[],0
11.1,266,2013-14,24,7,710,0,4,74,45,0,5,-8,7,PHX,5,13,52.7,37,1,NHL,0,33,10:17,65,69,296,12,[],0
