pim,team,assists,plus_minus,points,league,games_played,year,age,goals
10,Kimberley Dynamiters,5,0,6,KIJHL,11,2004-05,15,1
57,Kimberley Dynamiters,49,0,73,KIJHL,50,2005-06,16,24
0,Lethbridge Hurricanes,0,-1,0,WHL,2,2005-06,16,0
64,Lethbridge Hurricanes,20,9,31,WHL,67,2006-07,17,11
56,Lethbridge Hurricanes,30,23,45,WHL,70,2007-08,18,15
68,Lethbridge Hurricanes,34,14,47,WHL,53,2008-09,19,13
96,Lethbridge Hurricanes,36,-20,55,WHL,70,2009-10,20,19
0,Abbotsford Heat,0,-1,0,AHL,9,2009-10,20,0
16,Abbotsford Heat,14,4,19,AHL,29,2010-11,21,5
57,Abbotsford Heat,8,3,10,AHL,55,2011-12,22,2
53,Abbotsford Heat,7,4,12,AHL,59,2012-13,23,5
