assists,year,games_played,points,goals,team,age,pim,plus_minus,league
1,1986-87,10,3,2,Port Elgin Huskies,15,4,0,OHA-C
14,1987-88,45,27,13,Stratford Cullitons,16,205,0,ON-Jr.B
11,1988-89,59,22,11,London Knights,17,149,0,OHL
19,1989-90,61,40,21,London Knights,18,198,0,OHL
33,1990-91,61,64,31,London Knights,19,223,0,OHL
0,1990-91,2,0,0,Binghamton Rangers,19,7,0,AHL
2,1991-92,28,4,2,Cape Breton Oilers,20,73,0,AHL
1,1993-94,5,4,3,Cape Breton Oilers,22,58,0,AHL
4,1997-98,17,11,7,San Antonio Dragons,26,130,11,IHL
0,1998-99,3,1,1,Springfield Falcons,27,0,0,AHL
11,1998-99,50,19,8,2 Teams,27,294,-12,IHL
6,1998-99,26,9,3,Las Vegas Thunder,27,160,-13,IHL
5,1998-99,24,10,5,Long Beach Ice Dogs,27,134,1,IHL
5,2001-02,29,8,3,2 Teams,30,86,4,AHL
0,2001-02,9,0,0,Quebec Citadelles,30,44,-3,AHL
5,2001-02,20,8,3,Hamilton Bulldogs,30,42,7,AHL
0,2002-03,20,1,1,Norfolk Admirals,31,10,-6,AHL
0,2003-04,12,0,0,Hartford Wolf Pack,32,12,-1,AHL
