game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,6.7,-3,30,0,25,,19,6,1993-94,8,0,2,2,NJD,,8,,NHL
1,16.7,3,12,0,26,,11,1,1994-95,3,0,2,2,NJD,SC,8,,NHL
0,0,-1,0,0,27,,1,0,1995-96,0,0,0,0,VAN,,0,,NHL
0,33.3,-2,6,0,31,77,5,1,1999-00,3,0,2,2,EDM,,4,,NHL
0,0.0,-1,24,0,34,195,15,2,2002-03,2,0,0,0,MIN,,0,,NHL
0,0.0,-3,10,0,35,171,11,2,2003-04,2,0,0,0,MTL,,2,,NHL
0,33.3,3,6,0,37,128,9,3,2005-06,5,1,2,1,COL,,20,,NHL
0,0.0,-2,4,0,38,50,11,0,2006-07,0,0,0,0,NJD,,4,,NHL
0,9.1,0,11,0,39,151,17,2,2007-08,3,0,1,1,PHI,,4,19,NHL
