game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,0,0,0,0,0,1,0,0,1991-92,0,0,0,0,0,NHL,0,0,0,0,0,23,0,,[],0,0,0,,NJD
0,0,-1,1,0,0,1,0,0,1992-93,0,0,0,0,0,NHL,0.0,0,0,0,0,24,0,,[],0,0,0,,NJD
0,0,8,26,0,0,15,10,0,1993-94,5,0,5,2,0,NHL,19.2,5,0,0,0,25,0,,[],15,0,3,,NJD
0,0,-5,14,0,0,10,4,0,1994-95,2,0,1,1,0,NHL,7.1,2,0,0,0,26,0,,[],5,0,0,,NJD
0,0,-9,76,0,2,66,15,0,1995-96,13,0,5,0,23,NHL,6.6,0,0,0,0,27,0,,[],20,0,5,,TOT
0,0,-1,41,0,1,28,9,0,1995-96,8,0,4,0,17,NHL,9.8,0,0,0,0,27,0,,[],13,0,4,,NJD
0,0,-8,35,0,1,38,6,0,1995-96,5,0,1,0,6,NHL,2.9,0,0,0,0,27,0,,[],7,0,1,,VAN
0,0,-1,0,0,0,3,0,0,1996-97,0,0,0,0,0,NHL,0,0,0,0,0,28,0,,[],0,0,0,,NYI
0,0,10,58,0,0,48,8,0,1997-98,7,1,6,0,12,NHL,10.3,1,0,0,0,29,0,,[],14,0,5,,CGY
0,0,0,1,0,0,1,0,0,1998-99,0,0,0,0,0,NHL,0.0,0,0,0,0,30,0,9:47,[],0,0,0,10,EDM
1,0,10,103,0,0,69,18,0,1999-00,13,0,5,2,45,NHL,4.9,5,0,0,0,31,0,13:08,[],23,0,3,906,EDM
0,0,-6,92,0,1,68,22,0,2000-01,14,0,7,0,80,NHL,7.6,7,0,0,0,32,0,17:50,[],29,0,7,1213,MIN
1,0,-14,111,0,0,82,30,0,2001-02,13,0,13,5,54,NHL,11.7,17,0,0,0,33,0,15:34,[],43,0,8,1276,MIN
2,0,-1,78,0,0,78,17,0,2002-03,10,1,8,3,31,NHL,10.3,7,0,0,0,34,0,13:03,"[{'link': '/awards/voting-2003.html#selke', 'name': 'Selke-38'}]",25,0,4,1018,MIN
2,0,12,54,0,0,69,22,0,2003-04,17,1,7,2,44,NHL,13.0,5,0,0,0,35,0,13:59,[],29,0,4,965,TOT
2,0,6,41,0,0,55,20,0,2003-04,15,0,4,2,38,NHL,9.8,5,0,0,0,35,0,14:07,[],24,0,2,776,MIN
0,0,6,13,0,0,14,2,0,2003-04,2,1,3,0,6,NHL,23.1,0,0,0,0,35,0,13:30,[],5,0,2,189,MTL
0,0,-11,67,0,0,78,13,0,2005-06,13,1,5,0,40,NHL,7.5,0,0,0,0,37,0,12:34,[],18,0,4,980,TOT
0,0,-5,55,0,0,60,12,0,2005-06,12,0,3,0,38,NHL,5.5,0,0,0,0,37,0,12:43,[],15,0,3,763,CHI
0,0,-6,12,0,0,18,1,0,2005-06,1,1,2,0,2,NHL,16.7,0,0,0,0,37,0,12:04,[],3,0,1,217,COL
1,0,-5,44,0,1,66,4,0,2006-07,3,1,4,0,20,NHL,9.1,0,0,0,0,38,0,8:17,[],8,0,3,547,NJD
0,14,0,41,206,1,73,5,240,2007-08,4,1,5,0,41,NHL,12.2,0,32,53.8,17,39,63,8:26,[],10,15,4,616,PHI
