giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,1,0,20,0,0,0,0,0,0,3,MTL,0,0,[],0,0,0,-1,0,0,0,2005-06,0,3:04,0,0,0,0
0,NHL,46,2,21,0,0,82,12,0,0,525,MTL,0,0,[],7.3,5,6,-7,6,0,1,2006-07,0,11:25,0,24,0,6
21,NHL,53,0,22,268,103,68,18,101,0,698,MTL,12,49.1,[],10.3,7,11,5,7,259,0,2007-08,35,13:10,0,60,1,10
32,NHL,79,2,23,462,260,165,28,130,0,1169,MTL,46,53.2,"[{'link': '/awards/voting-2009.html#selke', 'name': 'Selke-24'}]",9.1,12,13,9,15,525,2,2008-09,52,14:48,1,76,0,13
16,NHL,76,1,24,217,178,101,14,164,0,933,MTL,25,48.9,[],6.9,7,7,-14,7,208,0,2009-10,36,12:16,0,61,0,7
8,NHL,78,0,25,167,197,129,12,194,0,907,TOT,20,50.9,[],4.7,6,6,-14,6,173,0,2010-11,23,11:38,0,80,0,6
4,NHL,38,0,25,21,112,78,8,104,0,445,MTL,8,58.0,[],6.4,5,3,-7,5,29,0,2010-11,7,11:42,0,63,0,3
2,NHL,21,0,25,62,46,28,3,59,0,243,ANA,3,53.4,[],0.0,0,3,-6,0,71,0,2010-11,8,11:35,0,9,0,3
2,NHL,19,0,25,84,39,23,1,31,0,219,VAN,9,46.5,[],4.3,1,0,-1,1,73,0,2010-11,8,11:32,0,8,0,0
9,NHL,82,0,26,231,168,103,19,244,0,921,VAN,17,52.1,[],8.7,9,10,-3,9,251,0,2011-12,24,11:14,0,130,0,10
13,NHL,0,1,27,268,92,54,10,116,0,605,VAN,14,50.6,[],7.4,4,6,-6,4,274,0,2012-13,18,12:36,0,45,0,6
3,NHL,71,1,28,292,135,78,15,87,0,793,STL,19,50.8,[],11.5,9,6,-3,9,301,0,2013-14,18,11:10,0,78,0,6
8,NHL,80,0,29,273,132,86,11,151,0,857,TOT,11,52.9,[],2.3,2,9,-15,2,307,0,2014-15,36,10:43,0,32,0,9
3,NHL,45,0,29,106,68,43,9,46,0,466,STL,10,56.2,[],4.7,2,7,-2,2,136,0,2014-15,17,10:21,0,16,0,7
5,NHL,35,0,29,167,64,43,2,105,0,391,PIT,1,50.6,[],0.0,0,2,-13,0,171,0,2014-15,19,11:10,0,16,0,2
