shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1930-31,0,0,,0,0,0,0,0,0,MTM,1,20,0,NHL,0,,19,1,[],0
0,1931-32,0,0,,0,0,0,0,0,0,MTM,1,21,0,NHL,0,,12,1,[],0
0,1932-33,18,0,,0,0,0,0,0,25,MTM,16,22,0,NHL,0,,48,41,[],0
0,1933-34,18,0,,0,0,0,0,0,4,MTM,5,23,0,NHL,0,,44,9,"[{'link': '/awards/voting-1934.html#byng', 'name': 'Byng-3'}]",0
0,1934-35,8,0,,0,0,0,0,0,5,TOT,5,24,0,NHL,0,,48,10,[],0
0,1934-35,0,0,,0,0,0,0,0,2,MTM,1,24,0,NHL,0,,11,3,[],0
0,1934-35,8,0,,0,0,0,0,0,3,BOS,4,24,0,NHL,0,,37,7,[],0
0,1935-36,24,0,,0,0,0,0,0,19,MTL,5,25,0,NHL,0,,48,24,[],0
0,1936-37,24,0,,0,0,0,0,0,18,MTL,8,26,0,NHL,0,,47,26,[],0
0,1937-38,25,0,,0,0,0,0,0,22,MTL,13,27,0,NHL,0,,48,35,[],0
0,1938-39,27,0,,0,0,0,0,0,33,MTL,5,28,0,NHL,0,,47,38,[],0
0,1939-40,8,0,,0,0,0,0,0,8,MTL,2,29,0,NHL,0,,23,10,[],0
0,1940-41,12,0,,0,0,0,0,0,0,MTL,0,30,0,NHL,0,,7,0,[],0
