offensive_point_share,name,even_strength_goals,shorthanded_goals,plus_minus,shotsPercentage,age,shots,assists,positions,overall_point_share,points,games_played,power_play_assists,defensive_point_share,game_winning_goals,power_play_goals,total_ice_time,shorthanded_assists,goals,even_strength_assists,average_ice_time,pim
8.8,Rick MacLeish,38,1,46,19.4,27,252,48,C,10.7,97,79,13,1.9,8,10,,0,49,35,,42
6.4,Bobby Clarke,15,6,39,17.1,27,158,63,C,8.1,90,80,16,1.7,3,6,,1,27,46,,71
3.7,Gary Dornhoefer,20,0,47,21.7,33,115,34,RW,5.6,59,79,6,2.0,3,5,,1,25,27,,85
3.4,Mel Bridgman,15,0,35,14.0,21,136,38,C,4.9,57,70,4,1.5,2,4,,1,19,33,,120
3.3,Ross Lonsberry,19,1,42,13.3,29,173,32,LW,5.1,55,75,2,1.8,3,3,,0,23,30,,43
3.2,Bill Barber,17,0,32,8.2,24,245,35,LW,4.6,55,73,13,1.5,3,3,,2,20,20,,62
3.5,Tom Bladon,8,0,34,6.3,24,158,43,D,8.8,53,80,15,5.2,2,2,,0,10,28,,39
2.2,Orest Kindrachuk,13,1,22,10.2,26,147,36,C,3.4,51,78,4,1.2,3,1,,1,15,31,,79
3.3,Reggie Leach,22,0,6,13.5,26,237,14,RW,3.9,46,77,3,0.7,3,10,,0,32,11,,23
2.6,Bob Kelly,20,0,27,21.6,26,102,24,LW,3.9,46,73,1,1.3,5,2,,0,22,23,,117
1.9,Don Saleski,18,2,24,14.1,27,156,16,RW,3.1,38,74,1,1.2,6,2,,1,22,14,,33
1.2,Joe Watson,4,0,29,4.0,33,101,26,D,6.0,30,77,1,4.8,1,0,,1,4,24,,39
2.0,Andre Dupont,9,0,57,9.1,27,110,19,D,7.8,29,59,3,5.8,0,1,,1,10,15,,168
0.9,Paul Holmgren,14,0,10,18.9,21,74,12,RW,1.6,26,59,2,0.7,2,0,,0,14,10,,201
0.9,Jimmy Watson,3,0,34,4.2,24,72,23,D,5.8,26,71,1,4.9,0,0,,1,3,21,,35
0.5,Harvey Bennett,12,0,-9,22.6,24,53,8,C,0.6,20,51,0,0.1,2,0,,0,12,8,,60
1.3,Bob Dailey,3,0,16,6.5,23,77,14,D,3.6,19,32,5,2.2,0,2,,0,5,9,,38
1.1,Larry Goodenough,3,0,15,7.7,24,52,13,D,3.2,17,32,5,2.2,0,1,,0,4,8,,21
0.3,Terry Murray,0,0,21,0.0,26,32,13,D,3.0,13,36,4,2.7,0,0,,0,0,9,,14
0.4,Rick Lapointe,1,0,20,3.7,21,27,8,D,2.5,9,22,1,2.1,1,0,,0,1,7,,39
0.3,Al Hill,2,0,6,33.3,21,6,4,LW,0.5,6,9,0,0.2,0,0,,0,2,4,,27
-0.4,Jack McIlhargey,2,0,6,7.4,24,27,1,D,1.5,3,40,0,1.9,0,0,,0,2,1,,164
-0.1,Bill Collins,1,0,-1,20.0,33,5,1,RW,-0.1,2,9,0,0.0,1,0,,0,1,1,,4
0.1,Drew Callander,1,0,1,100.0,20,1,0,C,0.1,1,2,0,0.0,0,0,,0,1,0,,0
0.0,Gary Inness,0,0,0,,27,0,1,G,0.8,1,6,0,0.0,0,0,,0,0,0,,0
0.0,Mark Suzor,0,0,2,0.0,20,4,1,D,0.3,1,4,0,0.3,0,0,,0,0,1,,4
0.0,Norm Barnes,0,0,0,,23,0,0,D,0.0,0,1,0,0.0,0,0,,0,0,0,,0
-0.1,Terry Crisp,0,0,0,,33,0,0,C,-0.1,0,2,0,0.0,0,0,,0,0,0,,0
-0.2,John Paddock,0,0,0,0.0,22,3,0,RW,-0.2,0,5,0,0.0,0,0,,0,0,0,,9
0.0,Bernie Parent,0,0,0,,31,0,0,G,12.6,0,61,0,0.0,0,0,,0,0,0,,0
0.0,Bob Ritchie,0,0,0,0.0,21,1,0,LW,0.0,0,1,0,0.0,0,0,,0,0,0,,0
0.0,Wayne Stephenson,0,0,0,,32,0,0,G,4.4,0,21,0,0.0,0,0,,0,0,0,,4
