points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/hakstda99c.html', 'name': 'D. Hakstol'}]",NHL,PHI,2017-18,0,0,0,Philadelphia Flyers,0,,0,0,
88,"[{'link': '/coaches/hakstda99c.html', 'name': 'D. Hakstol'}]",NHL,PHI,2016-17,39,33,10,Philadelphia Flyers,.537,,0,82,6th
96,"[{'link': '/coaches/hakstda99c.html', 'name': 'D. Hakstol'}]",NHL,PHI,2015-16,41,27,14,Philadelphia Flyers,.585,Lost NHL First Round,0,82,5th
84,"[{'link': '/coaches/berubcr01c.html', 'name': 'C. Berube'}]",NHL,PHI,2014-15,33,31,18,Philadelphia Flyers,.512,,0,82,6th
94,"[{'link': '/coaches/berubcr01c.html', 'name': 'C. Berube'}, {'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,PHI,2013-14,42,30,10,Philadelphia Flyers,.573,Lost NHL First Round,0,82,3rd
49,"[{'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,PHI,2012-13,23,22,3,Philadelphia Flyers,.510,,0,48,4th
103,"[{'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,PHI,2011-12,47,26,9,Philadelphia Flyers,.628,Lost NHL Conference Semi-Finals,0,82,3rd
106,"[{'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,PHI,2010-11,47,23,12,Philadelphia Flyers,.646,Lost NHL Conference Semi-Finals,0,82,1st
88,"[{'link': '/coaches/stevejo01c.html', 'name': 'J. Stevens'}, {'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,PHI,2009-10,41,35,6,Philadelphia Flyers,.537,Lost Stanley Cup Final,0,82,3rd
99,"[{'link': '/coaches/stevejo01c.html', 'name': 'J. Stevens'}]",NHL,PHI,2008-09,44,27,11,Philadelphia Flyers,.604,Lost NHL Conference Quarter-Finals,0,82,3rd
95,"[{'link': '/coaches/stevejo01c.html', 'name': 'J. Stevens'}]",NHL,PHI,2007-08,42,29,11,Philadelphia Flyers,.579,Lost NHL Conference Finals,0,82,4th
56,"[{'link': '/coaches/hitchke99c.html', 'name': 'K. Hitchcock'}, {'link': '/coaches/stevejo01c.html', 'name': 'J. Stevens'}]",NHL,PHI,2006-07,22,48,12,Philadelphia Flyers,.341,,0,82,5th
101,"[{'link': '/coaches/hitchke99c.html', 'name': 'K. Hitchcock'}]",NHL,PHI,2005-06,45,26,11,Philadelphia Flyers,.616,Lost NHL Conference Quarter-Finals,0,82,2nd
101,"[{'link': '/coaches/hitchke99c.html', 'name': 'K. Hitchcock'}]",NHL,PHI,2003-04,40,21,6,Philadelphia Flyers,.616,Lost NHL Conference Finals,15,82,1st
107,"[{'link': '/coaches/hitchke99c.html', 'name': 'K. Hitchcock'}]",NHL,PHI,2002-03,45,20,4,Philadelphia Flyers,.652,Lost NHL Conference Semi-Finals,13,82,2nd
97,"[{'link': '/coaches/barbebi01c.html', 'name': 'B. Barber'}]",NHL,PHI,2001-02,42,27,3,Philadelphia Flyers,.591,Lost NHL Conference Quarter-Finals,10,82,1st
100,"[{'link': '/coaches/ramsacr01c.html', 'name': 'C. Ramsay'}, {'link': '/coaches/barbebi01c.html', 'name': 'B. Barber'}]",NHL,PHI,2000-01,43,25,3,Philadelphia Flyers,.610,Lost NHL Conference Quarter-Finals,11,82,2nd
105,"[{'link': '/coaches/neilsro99c.html', 'name': 'R. Neilson'}]",NHL,PHI,1999-00,45,22,3,Philadelphia Flyers,.640,Lost NHL Conference Finals,12,82,1st
93,"[{'link': '/coaches/neilsro99c.html', 'name': 'R. Neilson'}]",NHL,PHI,1998-99,37,26,0,Philadelphia Flyers,.567,Lost NHL Conference Quarter-Finals,19,82,2nd
95,"[{'link': '/coaches/cashmwa01c.html', 'name': 'W. Cashman'}, {'link': '/coaches/neilsro99c.html', 'name': 'R. Neilson'}]",NHL,PHI,1997-98,42,29,0,Philadelphia Flyers,.579,Lost NHL Conference Quarter-Finals,11,82,2nd
103,"[{'link': '/coaches/murrate01c.html', 'name': 'T. Murray'}]",NHL,PHI,1996-97,45,24,0,Philadelphia Flyers,.628,Lost Stanley Cup Final,13,82,2nd
103,"[{'link': '/coaches/murrate01c.html', 'name': 'T. Murray'}]",NHL,PHI,1995-96,45,24,0,Philadelphia Flyers,.628,Lost NHL Conference Semi-Finals,13,82,1st
60,"[{'link': '/coaches/murrate01c.html', 'name': 'T. Murray'}]",NHL,PHI,1994-95,28,16,0,Philadelphia Flyers,.625,Lost NHL Conference Finals,4,48,1st
80,"[{'link': '/coaches/simpste99c.html', 'name': 'T. Simpson'}]",NHL,PHI,1993-94,35,39,0,Philadelphia Flyers,.476,,10,84,6th
83,"[{'link': '/coaches/dineebi01c.html', 'name': 'B. Dineen'}]",NHL,PHI,1992-93,36,37,0,Philadelphia Flyers,.494,,11,84,5th
75,"[{'link': '/coaches/holmgpa01c.html', 'name': 'P. Holmgren'}, {'link': '/coaches/dineebi01c.html', 'name': 'B. Dineen'}]",NHL,PHI,1991-92,32,37,0,Philadelphia Flyers,.469,,11,80,6th
76,"[{'link': '/coaches/holmgpa01c.html', 'name': 'P. Holmgren'}]",NHL,PHI,1990-91,33,37,0,Philadelphia Flyers,.475,,10,80,5th
71,"[{'link': '/coaches/holmgpa01c.html', 'name': 'P. Holmgren'}]",NHL,PHI,1989-90,30,39,0,Philadelphia Flyers,.444,,11,80,6th
80,"[{'link': '/coaches/holmgpa01c.html', 'name': 'P. Holmgren'}]",NHL,PHI,1988-89,36,36,0,Philadelphia Flyers,.500,Lost NHL Conference Finals,8,80,4th
85,"[{'link': '/coaches/keenami99c.html', 'name': 'M. Keenan'}]",NHL,PHI,1987-88,38,33,0,Philadelphia Flyers,.531,Lost NHL Division Semi-Finals,9,80,3rd
100,"[{'link': '/coaches/keenami99c.html', 'name': 'M. Keenan'}]",NHL,PHI,1986-87,46,26,0,Philadelphia Flyers,.625,Lost Stanley Cup Final,8,80,1st
110,"[{'link': '/coaches/keenami99c.html', 'name': 'M. Keenan'}]",NHL,PHI,1985-86,53,23,0,Philadelphia Flyers,.688,Lost NHL Division Semi-Finals,4,80,1st
113,"[{'link': '/coaches/keenami99c.html', 'name': 'M. Keenan'}]",NHL,PHI,1984-85,53,20,0,Philadelphia Flyers,.706,Lost Stanley Cup Final,7,80,1st
98,"[{'link': '/coaches/mccambo99c.html', 'name': 'B. McCammon'}]",NHL,PHI,1983-84,44,26,0,Philadelphia Flyers,.613,Lost NHL Division Semi-Finals,10,80,3rd
106,"[{'link': '/coaches/mccambo99c.html', 'name': 'B. McCammon'}]",NHL,PHI,1982-83,49,23,0,Philadelphia Flyers,.663,Lost NHL Division Semi-Finals,8,80,1st
87,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}, {'link': '/coaches/mccambo99c.html', 'name': 'B. McCammon'}]",NHL,PHI,1981-82,38,31,0,Philadelphia Flyers,.544,Lost NHL Division Semi-Finals,11,80,3rd
