assists,year,games_played,points,goals,team,age,pim,plus_minus,league
4,1985-86,23,9,5,Drummondville Voltigeurs,17,32,0,QMJHL
3,1986-87,8,4,1,Drummondville Voltigeurs,18,30,0,QMJHL
14,1987-88,17,17,3,Drummondville Voltigeurs,19,46,0,QMJHL
1,1987-88,3,1,0,Drummondville Voltigeurs,19,2,0,M-Cup
0,1988-89,6,0,0,Saginaw Hawks,20,8,0,IHL
3,1989-90,6,4,1,Halifax Citadels,21,2,0,AHL
1,1991-92,5,2,1,New Haven Nighthawks,23,2,0,AHL
7,1994-95,11,15,8,HC Bolzano,26,26,0,Italy
3,1995-96,4,4,1,San Francisco Spiders,27,0,0,IHL
1,1996-97,8,5,4,SC Langnau,28,12,0,Swiss-2
11,1997-98,12,16,5,SC Langnau,29,24,0,Swiss-2
8,1998-99,7,11,3,SC Langnau,30,6,0,Swiss
6,1999-00,10,6,0,Kolner Haie,31,8,0,Germany
0,2000-01,3,1,1,Kolner Haie,32,2,0,Germany
0,2001-02,3,0,0,Krefeld Pinguine,33,14,0,Germany
5,2002-03,11,5,0,Krefeld Pinguine,34,16,0,Germany
2,2003-04,5,2,0,Indianapolis Ice,35,4,0,CHL
