goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1975-76,21,359,0,0,0,0,0,0,Montreal Juniors,0,0,0,3.51,18,QMJHL,0,0,6,0,2,4
0,0,0,1976-77,64,780,2,0,0,0,0,0,Montreal Juniors,0,0,0,4.92,19,QMJHL,0,0,13,0,4,7
0,0,0,1977-78,14,299,0,0,0,0,0,0,Nova Scotia Voyageurs,0,0,0,2.81,20,AHL,0,0,5,0,3,2
0,0,0,1978-79,7,60,0,0,0,0,0,0,Nova Scotia Voyageurs,0,0,0,7.00,21,AHL,0,0,1,0,0,1
0,0,0,1980-81,13,179,0,0,0,0,0,0,Indianapolis Checkers,0,0,0,4.36,23,CHL,0,0,3,0,0,0
0,0,0,1982-83,13,200,0,0,0,0,0,0,Indianapolis Checkers,0,0,0,3.90,25,CHL,0,0,3,0,2,1
0,0,0,1983-84,22,379,0,0,0,0,0,0,Indianapolis Checkers,0,0,0,3.48,26,CHL,0,0,7,0,0,0
0,0,0,1984-85,21,359,0,0,0,0,0,0,Indianapolis Checkers,1,0,0,3.51,27,IHL,0,0,6,0,0,0
0,0,0,1985-86,15,182,0,0,0,0,0,0,Indianapolis Checkers,0,0,0,4.95,28,IHL,0,0,4,0,0,0
0,0,0,1986-87,30,360,0,0,0,0,0,0,Milwaukee Admirals,0,0,0,5.00,29,IHL,0,0,6,0,0,0
