bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
0,QMJHL,1,Chicoutimi Sagueneens,40,16,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1975-76,0,13.50,0,0
0,QMJHL,4,Chicoutimi Sagueneens,200,17,1,0,0,19,0,0,0,0,2,0,0,0,0,0,1976-77,0,5.70,0,0
0,QMJHL,1,Chicoutimi Sagueneens,47,19,1,0,0,8,0,0,0,0,0,0,0,0,0,0,1978-79,0,10.21,0,0
0,IHL,4,Toledo Goaldiggers,239,20,4,0,0,24,0,0,0,0,0,0,0,0,0,0,1979-80,0,6.03,0,0
0,AHL,4,Maine Mariners,240,22,3,0,0,18,0,0,0,0,1,0,0,0,0,0,1981-82,0,4.50,0,0
0,AHL,17,Maine Mariners,1012,23,9,0,0,54,0,0,0,0,8,0,0,0,0,0,1982-83,0,3.20,0,0
0,AHL,12,Maine Mariners,708,24,2,0,0,32,0,0,0,1,9,0,0,0,0,0,1983-84,0,2.71,0,0
0,AHL,10,Maine Mariners,656,25,5,0,0,45,0,0,0,0,5,0,0,0,0,0,1984-85,0,4.12,0,0
0,AHL,3,Adirondack Red Wings,105,27,2,0,0,10,0,0,0,0,0,0,0,0,0,0,1986-87,0,5.71,0,0
0,AHL,1,Adirondack Red Wings,59,28,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1987-88,0,6.10,0,0
0,AHL,16,Adirondack Red Wings,956,29,5,0,0,47,0,0,0,2,11,0,0,0,0,0,1988-89,0,2.95,0,0
0,AHL,3,Binghamton Rangers,160,31,2,0,0,11,0,0,0,0,1,0,0,0,0,0,1990-91,0,4.13,0,0
