assists,year,games_played,points,goals,team,age,pim,plus_minus,league
24,1979-80,42,35,11,St. Michael\'s Buzzers,17,103,0,ON-Jr.B
26,1980-81,68,30,4,Sault Ste. Marie Greyhounds,18,158,0,OMJHL
45,1981-82,68,54,9,Sault Ste. Marie Greyhounds,19,185,0,OHL
47,1982-83,73,57,10,Indianapolis Checkers,20,78,0,CHL
13,1983-84,26,17,4,Indianapolis Checkers,21,63,0,CHL
8,1984-85,25,9,1,Springfield Indians,22,46,0,AHL
3,1985-86,11,5,2,Springfield Indians,23,20,0,AHL
6,1988-89,25,8,2,Kalamazoo Wings,26,49,0,IHL
14,1990-91,40,15,1,Muskegon Lumberjacks,28,57,0,IHL
37,1991-92,79,45,8,Muskegon Lumberjacks,29,83,0,IHL
23,1992-93,41,29,6,San Diego Gulls,30,36,0,IHL
0,1993-94,3,0,0,San Diego Gulls,31,2,0,IHL
27,1994-95,68,32,5,Denver Grizzlies,32,75,0,IHL
17,1995-96,82,18,1,Utah Grizzlies,33,89,0,IHL
29,1996-97,81,34,5,Utah Grizzlies,34,62,0,IHL
34,1997-98,82,37,3,Utah Grizzlies,35,63,12,IHL
22,1998-99,77,27,5,Utah Grizzlies,36,78,3,IHL
20,1999-00,67,21,1,2 Teams,37,40,-3,IHL
18,1999-00,50,18,0,Utah Grizzlies,37,26,-4,IHL
2,1999-00,17,3,1,Chicago Wolves,37,14,1,IHL
