power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,4,0,0,NHL,1970-71,21,0,PHI,,0,2,-3,0,7,,,0.0,0
2,11,8,1,NHL,1972-73,23,2,PHI,,6,6,-1,0,28,,,7.1,0
2,0,16,2,NHL,1973-74,24,5,PHI,,11,42,1,0,46,,SC,10.9,3
2,0,16,2,NHL,1974-75,25,4,PHI,,0,16,6,0,39,,SC,10.3,1
1,0,16,0,NHL,1975-76,26,2,PHI,,0,28,11,0,29,,,6.9,1
2,10,10,0,NHL,1976-77,27,5,PHI,,5,8,0,0,20,,,25.0,3
1,12,11,0,NHL,1977-78,28,4,PHI,,7,8,-5,0,18,,,22.2,3
1,8,6,0,NHL,1978-79,29,2,PHI,,4,8,-8,0,21,,,9.5,1
3,19,20,2,NHL,1979-80,30,8,PHI,,12,16,10,0,41,,,19.5,5
0,12,6,0,NHL,1980-81,31,3,PHI,,3,6,3,1,19,,,15.8,2
1,4,6,0,NHL,1981-82,32,4,PHI,,2,4,3,1,7,,,57.1,2
0,3,1,0,NHL,1982-83,33,1,PHI,,0,2,1,0,3,,,33.3,1
0,3,3,0,NHL,1983-84,34,2,PHI,,1,6,-1,0,8,,,25.0,2
