assists,year,games_played,points,goals,team,age,pim,plus_minus,league
28,1995-96,30,65,37,Noble and Greenough School,17,28,0,High-MA
3,1995-96,5,5,2,Canada,17,2,0,U-18
31,1996-97,63,58,27,Detroit Jr. Whalers,18,14,0,OHL
44,1997-98,64,82,38,Plymouth Whalers,19,12,16,OHL
45,1998-99,60,103,58,Plymouth Whalers,20,34,53,OHL
1,1998-99,7,2,1,Canada,20,2,0,WJC-A
25,1999-00,47,45,20,Syracuse Crunch,21,32,10,AHL
9,2000-01,15,14,5,Kansas City Blades,22,20,-2,IHL
9,2001-02,11,11,2,Manitoba Moose,23,4,-5,AHL
13,2002-03,30,21,8,2 Teams,24,10,-14,AHL
3,2002-03,6,3,0,St. John\'s Maple Leafs,24,2,-4,AHL
10,2002-03,24,18,8,Lowell Lock Monsters,24,8,-10,AHL
25,2003-04,57,51,26,St. John\'s Maple Leafs,25,31,-20,AHL
20,2004-05,48,38,18,St. John\'s Maple Leafs,26,28,-12,AHL
4,2005-06,18,10,6,EHC Basel,27,34,0,Swiss
