game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,3,5,0,13,1,1988-89,1,0,0,0,,NHL,0.0,0,21,43,[],1,0,,MTL
0,1,6,0,18,4,1989-90,4,0,0,0,,NHL,0.0,0,22,23,[],4,0,,MTL
0,5,32,0,53,13,1990-91,13,0,2,0,,NHL,6.3,0,23,55,[],15,2,,MTL
0,2,2,0,3,0,1991-92,0,0,0,0,,NHL,0.0,0,24,2,[],0,0,,MTL
0,0,13,0,32,2,1992-93,2,0,1,0,,NHL,7.7,0,25,32,[],3,1,,MTL
0,-7,56,0,60,6,1993-94,6,0,2,0,,NHL,3.6,0,26,58,[],8,2,,TOT
0,-2,49,0,51,6,1993-94,6,0,2,0,,NHL,4.1,0,26,48,[],8,2,,TBL
0,-5,7,0,9,0,1993-94,0,0,0,0,,NHL,0.0,0,26,10,[],0,0,,LAK
0,2,11,0,22,3,1994-95,3,0,0,0,,NHL,0.0,0,27,10,[],3,0,,STL
0,-4,21,0,45,6,1995-96,6,0,1,0,,NHL,4.8,0,28,20,[],7,1,,TOT
0,-2,1,0,3,0,1995-96,0,0,0,0,,NHL,0.0,0,28,4,[],0,0,,STL
0,-2,20,0,42,6,1995-96,6,0,1,0,,NHL,5.0,0,28,16,[],7,1,,EDM
0,-1,10,0,22,1,1996-97,1,0,0,0,,NHL,0.0,0,29,15,[],1,0,,EDM
