assists,year,games_played,points,goals,team,age,pim,plus_minus,league
17,1982-83,44,20,3,Montreal L\'est Cantonniers,15,36,0,QAAA
12,1983-84,67,19,7,Trois-Rivieres Draveurs,16,92,0,QMJHL
30,1984-85,65,35,5,Trois-Rivieres Draveurs,17,103,0,QMJHL
32,1985-86,63,40,8,Trois-Rivieres Draveurs,18,160,0,QMJHL
29,1986-87,67,34,5,2 Teams,19,97,0,QMJHL
21,1986-87,51,26,5,Trois-Rivieres Draveurs,19,79,0,QMJHL
8,1986-87,16,8,0,Longueuil Chevaliers,19,18,0,QMJHL
8,1987-88,47,9,1,Sherbrooke Canadiens,20,107,0,AHL
12,1988-89,47,12,0,Sherbrooke Canadiens,21,170,0,AHL
11,1989-90,38,13,2,Sherbrooke Canadiens,22,104,0,AHL
0,1990-91,3,0,0,Montreal Canadiens,23,29,0,Fr-Tour
4,1990-91,10,5,1,Fredericton Canadiens,23,35,0,AHL
12,1991-92,31,20,8,Fredericton Canadiens,24,60,0,AHL
1,1995-96,13,2,1,Worcester IceCats,28,14,0,AHL
4,1997-98,15,4,0,Quebec Rafales,30,20,-1,IHL
