assists,year,games_played,points,goals,team,age,pim,plus_minus,league
12,1985-86,41,20,8,L\'Outaouais Frontaliers,15,60,0,QAAA
41,1986-87,68,64,23,Drummondville Voltigeurs,16,229,0,QMJHL
39,1987-88,64,63,24,Drummondville Voltigeurs,17,223,0,QMJHL
58,1988-89,62,91,33,Drummondville Voltigeurs,18,238,0,QMJHL
23,1989-90,24,29,6,Chicoutimi Sagueneens,19,112,0,QMJHL
10,1990-91,50,17,7,Halifax Citadels,20,139,0,AHL
1,1991-92,29,5,4,Halifax Citadels,21,45,0,AHL
0,1991-92,6,1,1,Greensboro Monarchs,21,34,0,ECHL
10,1992-93,65,22,12,Hershey Bears,22,192,0,AHL
2,1993-94,4,3,1,Chatham Wheels,23,13,0,ColHL
