bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],1,2.00,0,22,NHL,0,21,0,20,0,0,0,0,2,.909,2001-02,VAN,0,0.1,1,0,1,1,60
0,1,[],0,1.57,0,165,NHL,0,22,0,155,0,0,0,0,10,.939,2002-03,VAN,3,1.6,0,0,3,7,382
0,0,[],0,2.06,0,168,NHL,0,23,0,156,0,0,0,0,12,.929,2003-04,VAN,2,1.4,0,2,2,6,349
0,0,[],2,2.94,2.34,1938,NHL,0,25,0,1749,4,0,0,99,189,.902,2005-06,VAN,26,12.0,2,6,33,67,3859
0,1,[],1,3.34,-12.92,729,NHL,0,26,0,647,2,0,0,119,82,.888,2006-07,FLA,13,3.0,1,5,7,27,1471
6,3,[],0,2.68,-1.87,827,NHL,12,27,.429,750,0,0,28,102,77,.907,2007-08,TOT,13,4.9,0,5,12,32,1722
4,1,[],0,3.54,0,249,NHL,2,27,.222,219,0,0,9,0,30,.880,2007-08,PHX,6,0.7,0,0,3,9,509
2,2,[],0,2.32,5.51,578,NHL,10,27,.526,531,0,0,19,90,47,.919,2007-08,BOS,7,4.2,0,5,9,23,1213
4,1,[],0,2.47,3.41,1141,NHL,22,28,.579,1040,2,0,38,97,101,.911,2008-09,OTT,18,7.2,0,7,16,43,2449
4,0,[],2,2.95,-9.87,610,NHL,8,29,.400,546,2,0,20,118,64,.895,2009-10,TOT,7,2.5,2,3,9,24,1300
4,0,[],2,3.00,-9.49,558,NHL,7,29,.368,499,2,0,19,119,59,.894,2009-10,DAL,6,2.2,2,3,9,21,1181
0,0,[],0,2.52,0,52,NHL,1,29,1.000,47,0,0,1,0,5,.904,2009-10,NYR,1,0.3,0,0,0,3,119
2,0,[],1,2.64,0.37,383,NHL,6,30,.500,350,2,0,12,99,33,.914,2010-11,MTL,2,2.3,1,2,6,16,749
2,0,[],0,3.35,0,310,NHL,2,31,.250,274,0,0,8,0,36,.884,2011-12,OTT,4,0.8,0,2,2,14,645
