assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Calgary Canadians,0,1930-31,2,0,0,18,0,CCJHL
2,Calgary Canadians,3,1930-31,8,5,4,18,0,M-Cup
1,Calgary Bronks,2,1931-32,3,3,2,19,0,ASHL
2,Calgary Bronks,6,1931-32,11,8,12,19,0,Al-Cup
1,Drumheller Miners,1,1932-33,5,2,2,20,0,ASHL
0,Syracuse Stars,1,1933-34,6,1,2,21,0,IHL
0,Detroit Olympics,1,1935-36,6,1,10,23,0,IHL
0,Cleveland Barons,0,1936-37,5,0,0,24,0,IAHL
1,St. Louis Flyers,0,1938-39,2,1,0,26,0,AHA
1,St. Louis Flyers,2,1939-40,5,3,8,27,0,AHA
3,St. Louis Flyers,1,1940-41,9,4,2,28,0,AHA
1,St. Louis Flyers,1,1941-42,3,2,0,29,0,AHA
6,Hershey Bears,0,1942-43,6,6,2,30,0,AHL
4,Hershey Bears,2,1943-44,7,6,2,31,0,AHL
4,Calgary Stampeders,3,1947-48,11,7,6,35,0,WCSHL
4,Nelson Maple Leafs,1,1948-49,5,5,6,36,0,WIHL
0,Nelson Maple Leafs,0,1950-51,4,0,0,38,0,WIHL
