assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1941-42,1,0,0,Toronto Native Sons,15,0,0,OHA-Jr.
8,1943-44,19,20,12,Toronto Young Rangers,17,34,0,OHA-Jr.
6,1943-44,11,16,10,Toronto CIL,17,12,0,TIHL
8,1944-45,19,20,12,Toronto Young Rangers,18,34,0,OHA-Jr.
3,1944-45,9,4,1,Toronto Fuels,18,24,0,TMHL
0,1944-45,3,0,0,Toronto Maher Jewels,18,0,0,TIHL
6,1945-46,41,12,6,Omaha Knights,19,28,0,USHL
4,1946-47,34,10,6,Indianapolis Capitols,20,80,0,AHL
4,1947-48,10,4,0,Indianapolis Capitols,21,34,0,AHL
7,1947-48,32,18,11,Omaha Knights,21,57,0,USHL
24,1948-49,65,32,8,Indianapolis Capitols,22,103,0,AHL
22,1949-50,30,37,15,Indianapolis Capitols,23,75,0,AHL
9,1954-55,41,16,7,Montreal Royals,28,80,0,QHL
18,1955-56,31,26,8,Buffalo Bisons,29,48,0,AHL
31,1956-57,59,37,6,Buffalo/Hershey,30,101,0,AHL
31,1957-58,60,38,7,Hershey Bears,31,114,0,AHL
31,1958-59,40,38,7,Belleville McFarlands,32,114,0,EOHL
2,1958-59,8,5,3,Canada,32,28,0,WEC-A
