assists,team,goals,year,games_played,points,pim,age,plus_minus,league
30,Swift Current Broncos,30,1966-67,26,60,0,17,0,Exhib.
26,Swift Current Broncos,27,1967-68,40,53,34,18,0,WCJHL
4,Swift Current Broncos,5,1968-69,5,9,2,19,0,WCJHL
42,Saskatoon Blades,27,1969-70,53,69,8,20,0,WCJHL
18,Omaha Knights,12,1970-71,63,30,12,21,0,CHL
1,Phoenix Roadrunners,0,1971-72,1,1,2,22,0,WHL
52,Omaha Knights,30,1971-72,70,82,36,22,0,CHL
28,Virginia Wings,16,1972-73,50,44,14,23,0,AHL
11,Virginia Wings,8,1973-74,23,19,15,24,0,AHL
44,Fort Worth Texans,22,1977-78,60,66,43,28,0,CHL
29,Oklahoma City Stars,21,1978-79,40,50,18,29,0,CHL
15,Adirondack Red Wings,11,1979-80,25,26,4,30,0,AHL
37,Adirondack Red Wings,19,1980-81,73,56,78,31,0,AHL
47,Dallas Black Hawks,20,1981-82,67,67,24,32,0,CHL
38,Adirondack Red Wings,20,1982-83,77,58,14,33,0,AHL
