shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
0,0,3,0,1615,29,0,1968-69,0,10,3.23,NHL,0,87,0,0,13,0,0,25,3.7,2,[],2,0,0,PIT
0,0,3,0,528,9,0,1969-70,0,1,2.95,NHL,0,26,0,0,5,0,0,26,1.4,0,[],0,0,0,PIT
0,0,8,0,2073,38,1,1970-71,0,12,3.70,NHL,0,128,0,0,16,0,0,27,3.7,12,[],1,1,0,BUF
0,0,5,0,1620,29,0,1971-72,0,11,3.15,NHL,0,85,0,0,10,0,0,28,4.1,2,[],0,0,0,DET
776,0,0,693,1718,29,1,1972-73,0,0,2.90,WHA,0,83,97,2.15,0,0,.893,29,0,10,[],2,1,0,WNJ
1402,0,0,1239,2454,41,1,1973-74,0,0,3.99,WHA,0,163,106,-9.50,0,0,.884,30,0,4,[],0,1,0,WNJ
1550,0,0,1375,2902,51,1,1974-75,0,0,3.62,WHA,0,175,103,-5.16,0,0,.887,31,0,6,[],1,1,0,WNJ
1771,0,0,1600,3612,62,1,1975-76,0,0,2.84,WHA,0,171,84,31.92,0,0,.903,32,0,17,"[{'link': '/awards/wha_all_star.html#1976', 'name': None}]",0,1,0,WNJ
1902,0,0,1696,3818,65,4,1976-77,0,0,3.24,WHA,0,206,93,15.27,0,0,.892,33,0,6,"[{'link': '/awards/wha_all_star.html#1977', 'name': 'ASW-2'}]",3,4,0,WNJ
971,0,0,857,2075,37,2,1977-78,0,0,3.30,WHA,0,114,95,6.56,0,0,.883,34,0,2,[],1,2,0,WNJ
695,0,0,605,1256,23,1,1978-79,0,0,4.30,WHA,0,90,109,-7.21,0,0,.871,35,0,2,[],0,1,0,WNJ
