bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,4,"[{'link': '/awards/voting-2000.html#calder', 'name': 'Calder-6'}, {'link': '/awards/voting-2000.html#vezina', 'name': 'Vezina-9'}]",1,0,10.53,790,NHL,0,23,0,725,4,0,0,86,65,.918,1999-00,PHI,10,6.0,1,3,20,35,2038
0,1,[],0,3.27,-17.70,644,NHL,0,24,0,564,2,0,0,128,80,.876,2000-01,PHI,12,2.0,0,5,8,27,1470
0,2,[],0,2.41,-2.33,972,NHL,0,25,0,880,4,0,0,103,92,.905,2001-02,PHI,16,5.7,0,4,18,41,2295
0,0,[],1,3.02,-17.69,1210,NHL,0,26,0,1082,0,0,0,116,128,.894,2002-03,PHX,20,5.3,1,8,15,45,2544
0,5,[],0,2.74,-5.58,1150,NHL,0,27,0,1042,2,0,0,105,108,.906,2003-04,PHX,19,6.4,0,10,10,40,2364
0,0,[],0,4.15,-11.37,371,NHL,0,29,0,323,2,0,0,131,48,.871,2005-06,TOT,8,1.1,0,0,4,14,694
0,0,[],0,3.87,0,268,NHL,0,29,0,235,2,0,0,0,33,.877,2005-06,PHX,6,0.9,0,0,3,11,512
0,0,[],0,4.95,0,103,NHL,0,29,0,88,0,0,0,0,15,.854,2005-06,CGY,2,0.1,0,0,1,3,182
0,1,[],0,3.34,-10.79,456,NHL,0,30,0,402,0,0,0,125,54,.882,2006-07,TOT,11,1.6,0,3,2,18,969
0,1,[],0,3.26,-8.14,389,NHL,0,30,0,344,0,0,0,122,45,.884,2006-07,CHI,10,1.5,0,3,1,15,827
0,0,[],0,3.80,0,67,NHL,0,30,0,58,0,0,0,0,9,.866,2006-07,CBJ,1,0.1,0,0,1,3,142
0,1,[],0,1.76,0,103,NHL,3,31,1.000,96,0,0,3,0,7,.932,2007-08,SJS,1,0.9,0,1,3,5,238
1,2,[],0,2.18,4.52,563,NHL,10,32,.500,516,2,0,20,91,47,.917,2008-09,SJS,6,3.9,0,3,12,22,1291
7,1,[],1,2.76,-9.37,796,NHL,15,33,.577,716,2,0,26,113,80,.899,2009-10,PHI,18,3.7,1,3,9,33,1742
3,0,[],0,2.42,2.58,902,NHL,17,34,.586,826,0,0,29,97,76,.916,2010-11,PHI,10,5.7,0,4,18,34,1885
2,0,[],0,3.41,0,260,NHL,2,35,.250,229,0,0,8,0,31,.881,2011-12,CAR,6,0.6,0,1,1,10,546
0,0,[],0,2.50,0,55,NHL,0,36,.000,49,0,0,1,0,6,.891,2012-13,PHI,2,0.2,0,0,0,4,144
