league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,75,4,20,170,37,6,,WSH,[],5.9,8,27,-26,10,0,1977-78,,2,101,0,21
NHL,77,2,21,243,65,23,,WSH,"[{'link': '/awards/voting-1979.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1979.html#norris', 'name': 'Norris-6'}]",8.6,13,44,3,21,0,1978-79,,8,85,1,20
NHL,78,1,22,212,54,22,,WSH,"[{'link': '/awards/voting-1980.html#AS', 'name': 'AS-16'}]",5.2,6,43,-21,11,0,1979-80,,5,122,0,21
NHL,67,0,23,172,29,9,,TOT,[],4.7,5,21,-33,8,0,1980-81,,3,74,0,12
NHL,59,0,23,160,25,8,,TOR,[],3.8,4,19,-32,6,0,1980-81,,2,68,0,11
NHL,8,0,23,12,4,1,,MTL,[],16.7,1,2,-1,2,0,1980-81,,1,6,0,1
NHL,62,0,24,132,28,11,,MTL,[],1.5,0,26,17,2,0,1981-82,,2,106,0,15
NHL,64,1,25,117,38,6,,MTL,[],6.0,6,31,31,7,0,1982-83,,1,60,0,25
NHL,69,1,26,133,24,2,,TOT,[],4.5,4,18,8,6,1,1983-84,,1,34,0,16
NHL,7,0,26,7,2,1,,MTL,[],0.0,0,2,-1,0,0,1983-84,,0,0,0,1
NHL,62,1,26,126,22,1,,WIN,[],4.8,4,16,9,6,1,1983-84,,1,34,0,15
NHL,78,3,27,151,34,7,,WIN,[],7.9,12,22,31,12,0,1984-85,,0,107,0,15
NHL,68,1,28,171,41,17,,TOT,[],5.3,7,32,-4,9,1,1985-86,,1,53,0,15
NHL,20,1,28,40,7,0,,WIN,[],5.0,2,5,-2,2,0,1985-86,,0,17,0,5
NHL,48,0,28,131,34,17,,QUE,[],5.3,5,27,-2,7,1,1985-86,,1,36,0,10
NHL,78,3,29,163,28,6,,QUE,[],4.9,6,20,-17,8,1,1986-87,,1,71,0,14
NHL,65,1,30,110,16,2,,QUE,[],2.7,2,13,-1,3,1,1987-88,,0,103,0,11
NHL,74,1,31,102,21,1,,QUE,[],6.9,4,14,-28,7,1,1988-89,,2,61,0,13
NHL,44,0,32,39,8,1,,TOT,[],0.0,0,8,-3,0,0,1989-90,,0,48,0,7
NHL,24,0,32,25,5,1,,QUE,[],0.0,0,5,-5,0,0,1989-90,,0,28,0,4
NHL,20,0,32,14,3,0,,DET,[],0.0,0,3,2,0,0,1989-90,,0,20,0,3
