goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.0,0,NHL,2,WSH,120,19,2,0,0,12,0,0,0,0,0,0,0,0,0,.810,1989-90,63,6.00,0,[],51
-0.1,0,NHL,1,WSH,20,22,0,0,0,2,0,0,0,0,0,0,0,0,0,.714,1992-93,7,6.00,0,[],5
0.1,0,NHL,7,WSH,224,23,3,0,0,20,0,0,0,0,0,0,0,0,0,.844,1993-94,128,5.36,0,[],108
1.7,0,NHL,14,WSH,724,24,8,99,0,30,0,0.32,2,0,2,0,0,0,0,.902,1994-95,305,2.49,4,[],275
1.8,0,NHL,18,WSH,897,25,8,112,0,46,0,-4.76,2,0,4,0,0,0,0,.887,1995-96,406,3.08,2,[],360
4.2,0,NHL,29,WSH,1645,26,15,98,0,71,0,1.22,4,2,8,0,0,0,0,.906,1996-97,758,2.59,4,[],687
12.7,0,NHL,64,WSH,3788,27,18,86,1,139,0,23.11,10,5,33,1,0,0,0,.920,1997-98,1729,2.20,12,"[{'link': '/awards/voting-1998.html#AS', 'name': 'AS-5'}, {'link': '/awards/voting-1998.html#hart', 'name': 'Hart-11'}, {'link': '/awards/voting-1998.html#vezina', 'name': 'Vezina-5'}]",1590
7.7,0,NHL,64,WSH,3586,28,0,109,2,154,0,-12.18,3,4,26,2,0,0,0,.900,1998-99,1538,2.58,19,[],1384
0,0,NHL,73,WSH,0,29,20,87,2,163,0,0,11,5,41,2,0,0,0,.917,1999-00,0,2.24,6,"[{'link': '/awards/nhl_all_star.html#2000', 'name': None}, {'link': '/awards/voting-2000.html#hart', 'name': 'Hart-4'}, {'link': '/awards/vezina.html#2000', 'name': None}]",0
13.1,0,NHL,72,WSH,4279,30,26,94,2,177,0,10.77,8,5,37,2,0,0,0,.909,2000-01,1941,2.48,14,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-8'}]",1764
11.1,0,NHL,71,WSH,4131,31,29,105,1,0,0,-9.62,8,6,31,1,0,0,0,.903,2001-02,0,2.79,8,[],1785
13.9,0,NHL,66,WSH,3894,32,25,89,0,156,0,19.49,6,4,33,0,0,0,0,.919,2002-03,1925,2.40,0,"[{'link': '/awards/voting-2003.html#vezina', 'name': 'Vezina-10'}]",1769
11.3,0,NHL,63,WSH,3738,33,35,103,1,0,0,-5.63,9,2,19,1,0,0,0,.908,2003-04,1958,2.89,6,[],1778
11.0,0,NHL,59,WSH,3506,35,28,105,3,206,0,-9.82,0,0,20,3,0,0,0,.896,2005-06,1987,3.53,14,"[{'link': '/awards/clancy.html#2006', 'name': None}]",1781
11.8,0,NHL,54,WSH,3184,36,24,95,3,159,0,8.82,6,1,22,3,0,0,0,.910,2006-07,1771,3.00,10,[],1612
6.0,11,NHL,54,WSH,3154,37,21,118,2,153,52,-23.73,6,1,25,2,.442,0,23,.892,2007-08,1423,2.91,8,[],1270
1.2,2,NHL,8,TBL,410,38,4,0,0,25,8,0,1,0,2,0,.375,0,3,.898,2008-09,245,3.66,0,[],220
