average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
,0,0,0,0,0,NHL,21,0,0,2,1,0,0,0,0,0,0,0,0,1995-96,DET,0,0,0,0,0,,1,[]
,0,6,0,0,0,NHL,22,6,0,10,5,27,0,0,0,0,0,0,0,1996-97,DET,0,0,6,0,0.0,,23,[]
,0,21,2,0,0,NHL,23,10,0,32,21,91,0,6,0,1,0,4,0,1997-98,DET,7,0,14,0,7.7,,66,"[{'link': '/awards/voting-1998.html#calder', 'name': 'Calder-9'}]"
16:58,0,20,1,0,0,NHL,24,13,0,34,11,79,0,2,0,0,1,4,0,1998-99,TOT,2,0,18,0,2.5,1221,72,[]
15:54,0,12,1,0,0,NHL,24,9,0,34,5,67,0,2,0,0,1,0,0,1998-99,DET,2,0,10,0,3.0,970,61,[]
22:51,0,8,0,0,0,NHL,24,4,0,0,6,12,0,0,0,0,0,4,0,1998-99,CHI,0,0,8,0,0.0,251,11,[]
21:03,0,28,1,0,0,NHL,25,15,0,20,4,86,0,3,0,0,0,10,0,1999-00,CHI,3,0,25,0,3.5,1537,73,[]
21:05,0,26,0,0,0,NHL,26,11,0,30,-2,99,0,1,0,1,0,13,0,2000-01,TOT,2,0,24,0,2.0,1540,73,[]
21:20,0,5,0,0,0,NHL,26,0,0,2,-4,19,0,1,0,1,0,3,0,2000-01,CHI,2,0,3,0,10.5,277,13,[]
21:02,0,21,0,0,0,NHL,26,11,0,28,2,80,0,0,0,0,0,10,0,2000-01,FLA,0,0,21,0,0.0,1262,60,[]
15:55,0,2,0,0,0,NHL,27,2,0,12,-1,31,0,0,0,0,0,0,0,2001-02,TOR,0,0,2,0,0.0,541,34,[]
19:02,0,0,0,0,0,NHL,28,0,0,0,1,7,0,0,0,0,0,0,0,2002-03,TOR,0,0,0,0,0.0,76,4,[]
20:42,0,27,1,0,0,NHL,29,13,0,18,-6,84,0,5,0,2,0,7,0,2003-04,CBJ,7,0,20,0,8.3,1366,66,[]
20:12,0,23,0,0,0,NHL,32,14,0,46,12,78,0,0,0,0,1,8,0,2006-07,CBJ,0,0,23,0,0.0,1596,79,[]
20:47,124,18,0,0,70,NHL,33,13,0,36,-5,50,0,0,0,1,0,4,28,2007-08,CGY,1,63,17,44,2.0,1268,61,[]
15:15,24,5,0,0,24,NHL,35,5,0,2,2,6,0,0,0,0,0,0,3,2009-10,TOT,0,19,5,6,0.0,305,20,[]
15:45,15,3,0,0,18,NHL,35,3,0,2,0,4,0,0,0,0,0,0,0,2009-10,PHX,0,15,3,4,0.0,189,12,[]
14:30,9,2,0,0,6,NHL,35,2,0,0,2,2,0,0,0,0,0,0,3,2009-10,NYR,0,4,2,2,0.0,116,8,[]
